"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"1","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1902-08-21,2022-05-04,120,1,0.0164050650944517,"+",0.713786428598573,"+",0.00017483709975599,"-",0.00565529492975291,"+",0.661948840376158,"-",0.00149913782054003,"-",0.000218064685394974,"-"
"3","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1922-06-21,2022-03-06,100,2,0.138273586246305,"-",0.00486981447356115,"-",1.93439272946793e-06,"-",0.194645566395035,"-",0.00119327405796611,"-",3.61708789912602e-05,"-",5.4987646393643e-07,"-"
"31","07139500","ARKANSAS R AT DODGE CITY, KS",37.7447427,-100.0329126,"11030003",1902-10-01,2007-02-28,105,3,1.32091711672789e-07,"-",1.67557067287764e-07,"-",2.24477487051406e-09,"-",2.07124087635599e-06,"-",6.6112097642011e-09,"-",6.82810104721262e-08,"-",7.15656145344664e-08,"-"
"4","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1922-06-10,2022-05-04,100,4,0.152850782609347,"-",0.157996167547957,"+",0.00784884990742421,"+",0.915581839180032,"-",0.102393157710046,"+",0.00728612119278634,"+",0.00909035537606846,"+"
"5","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1902-10-01,2022-05-04,120,5,1.46871057108844e-05,"+",0.0275533565278001,"+",0.0222691587579381,"+",0.000256146732972699,"+",0.0450535913583953,"+",0.0453752447662897,"+",0.0353937418085808,"+"
"6","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1921-11-14,2022-05-04,101,6,1.30633256425951e-06,"+",1.37843309751185e-05,"+",0.00323441534907657,"+",2.67429812344129e-05,"+",0.000321076180768874,"+",0.000223111738917189,"+",0.00145568387444303,"+"
