"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"3","04100500","ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,"04050001",1958-10-01,2021-09-30,63,1,0.761353342342702,"-",0.0691085462353897,"+",0.0691085462353897,"+",0.160565343762264,"+",0.0251666610450659,"+",0.264343890137129,"+",0.650618217097226,"+"
"31","04101000","ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,"04050001",1958-10-01,2021-09-30,63,2,0.444047285207357,"+",0.0459022052283964,"+",0.130643556719745,"+",0.145842458179258,"+",0.119619486996157,"+",0.307496488556222,"+",0.425311075539356,"+"
"4","04101500","ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,"04050001",1958-10-01,2021-09-30,63,3,0.53154223450892,"+",0.000890866818676679,"+",0.00812477514458526,"+",0.0399932955089787,"+",0.0124088050875957,"+",0.0381884187038592,"+",0.0934652518277367,"+"
"5","04099510","PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,"04050001",1958-10-01,2021-09-30,63,4,0.00355051676648729,"+",0.0179711841811707,"+",0.00197947192582571,"+",0.00197220581779782,"+",0.00874326503580283,"+",0.00327847580399351,"+",0.0301143000210123,"+"
"8","04099000","ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,"04050001",1958-10-01,2021-09-30,63,5,0.733744639042783,"+",0.00234799871838428,"+",0.0126394463565765,"+",0.16054832619909,"+",0.0399501543489361,"+",0.0185886627457604,"+",0.0251785196260524,"+"
"9","04097500","ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,"04050001",1958-10-01,2021-09-30,63,6,0.411848966734304,"+",0.00380076577941567,"+",0.00380076577941567,"+",0.0609679052986845,"+",0.0308783527064131,"+",0.0260672866790958,"+",0.0412341190481967,"+"
"15","04102500","PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,"04050001",1958-10-01,2021-09-30,63,7,0.0437338940483449,"+",0.166355274885652,"+",0.0347642174434555,"+",0.0331420719757126,"+",0.0438272119486005,"+",0.170295625107241,"+",0.0277732339551013,"+"
"19","04103500","KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,"04050003",1958-10-01,2021-09-30,63,8,0.000756547523111071,"+",4.67524608951221e-06,"+",0.000201857824601912,"+",0.000587063333044893,"+",0.000471969205263325,"+",0.00201831365617215,"+",0.00172365475661521,"+"
"20","04105000","BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,"04050003",1958-10-01,2021-09-30,63,9,0.00638232243419978,"+",0.0021565287582078,"+",0.000245116878759905,"+",0.00574520121147451,"+",0.00136332039405001,"+",0.000363392706325965,"+",0.000998043041955185,"+"
"21","04105500","KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,"04050003",1958-10-01,2021-09-30,63,10,0.00224778629936511,"+",0.000586670324180345,"+",0.000890866818676679,"+",0.00444653041886501,"+",0.00444491540120299,"+",0.00189415062779129,"+",0.000451604856026049,"+"
