"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"1","04112500","RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,"04050004",1902-08-31,2022-05-05,120,1,1.10320644270846e-06,"+",4.6582024452817e-06,"+",0.00107865013534122,"+",1.81850155550954e-06,"+",7.87002244540097e-06,"+",0.00894967839032645,"+",0.115983486757361,"+"
"3","04113000","GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,"04050004",1901-03-01,2022-05-05,121,2,0.000157352311422616,"+",2.49372078327328e-07,"+",0.0010523769722787,"+",6.39727270761924e-05,"+",1.08315367244119e-06,"+",0.017955770911509,"+",0.372272666592761,"+"
"31","04119000","GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,"04050006",1901-03-01,2022-05-05,121,3,6.68103223482639e-06,"+",2.92766071960004e-07,"+",6.97700802680737e-06,"+",1.11450935182928e-06,"+",2.17213947631316e-07,"+",0.0008837583010106,"+",0.0673784948995749,"+"
