"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","county","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95","p_Diff","tau_Diff","Diff"
"1","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1902-08-21,2022-10-26,120,"Hamilton",1,13.5920863724306,0.000140974642215304,"-",7.70098083635822,0.00000573374043013661,"-",3.25643736006151,0.696275329700317,"-",3.92871926362242,0.758931679406092,"+",1.0733744557243,"0.0302184731230328","+",0.215377935309807,0.0132548735374875,"+",0.0635996374843327,0.0218033897184676,"+",0.0000000000000140007377868767,"+",0.984154166666667
"3","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1922-06-21,2022-09-11,100,"Finney",2,7.24911273196301,0.0000190024397444248,"-",4.04018650295186,0.00000297103555481573,"-",0.226534772873844,0.0023061569270139,"-",1.71921229555653,0.00418962015638928,"-",0.05459678391615,"0.235850396268139","+",0,0.143416929913028,"-",0,0.226026419145656,"+",0.000000666728436866137,"+",1
"31","07139500","ARKANSAS R AT DODGE CITY, KS",37.7447427,-100.0329126,"11030003",1902-10-01,2007-02-28,105,"Ford",3,7.19247903874455,0.0000000128538523705099,"-",3.66788543190159,0.000000000925390062748971,"-",0.792871705058454,0.00000018118413388482,"-",2.09939402022814,0.000000526079285782679,"-",0.25598607802265,"0.0000000371226677767141","+",0,0.00000205276286321992,"-",0,0.000000844250455204537,"+",0.892722247186352,"+",1
"4","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1922-06-10,2022-10-26,100,"Sedgwick",4,14.1017896113968,0.0133775922600436,"+",8.75279706589074,0.0212591243915711,"+",1.69901079655383,0.107791320198842,"+",1.82796651366123,0.109789164308975,"+",0.626540070056274,"0.0711380208182616","+",0.56633693218461,0.63655214922405,"-",0.396435852529227,0.246343292943532,"+",0.000061505628429151,"+",0.959839357429719
"5","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1902-10-01,2022-10-26,120,"Cowley",5,118.364418826583,0.109379853930169,"+",55.9607419610281,0.0754152038759478,"+",25.6267461813536,0.0550381864638601,"+",27.0371361193395,0.069178347752116,"+",8.50623680337375,"0.0000416799489910859","+",8.353469749723,0.000927837013364748,"+",5.69168616845533,0.000226111079779401,"+",0.0000133333292891175,"+",0.929425837320574
"6","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1921-11-14,2022-10-26,101,"Cowley",6,53.8020085575379,0.000274305841878317,"+",27.0500771134742,0.00516918764946469,"+",5.25277504601226,0.00135415789069932,"+",6.54349449044984,0.0000494937179317059,"+",1.27139837627266,"0.00000193877731226911","+",0.764554858449223,0.000031678159576653,"+",0.424752699138457,0.0000113262821747047,"+",0.00247120879124364,"+",0.985789473684211
