"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","county","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95","Q90Q10","p_Q90Q10","tau_Q90Q10"
"1","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1902-08-21,2022-10-26,120,"Hamilton",1,480,0.00014251625186077,"-",271.957635400161,5.73374043013661e-06,"-",115,0.696275329700317,"-",138.741000509442,0.758931679406092,"+",NA,"NA","NA",7.60599999999999,0.0132548735374875,"+",2.3,0.0218033897184676,"+",472.394,NA,"-"
"3","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1922-06-21,2022-09-11,100,"Finney",2,256,1.90024397444248e-05,"-",142.766222613459,2.97103555481573e-06,"-",8,0.0023061569270139,"-",60.7530135154084,0.00418962015638928,"-",NA,"NA","NA",0,0.143416929913028,"-",0,0.226026419145656,"+",256,NA,"-"
"31","07139500","ARKANSAS R AT DODGE CITY, KS",37.7447427,-100.0329126,"11030003",1902-10-01,2007-02-28,105,"Ford",3,254,1.28538523705099e-08,"-",129.53015152139,9.25390062748971e-10,"-",28,1.8118413388482e-07,"-",74.1394000963297,5.26079285782679e-07,"-",NA,"NA","NA",0,2.05276286321992e-06,"-",0,8.44250455204537e-07,"+",254,0.649507975662135,"+"
"4","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1922-06-10,2022-10-26,100,"Sedgwick",4,498,0.0133775922600436,"+",309.134589984693,0.0212591243915711,"+",60,0.107148798235499,"+",64.5597669644919,0.109789164308975,"+",NA,"NA","NA",20,0.649166410161138,"-",14,0.247543281025081,"+",478,1.18262029403011e-05,"+"
"5","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1902-10-01,2022-10-26,120,"Cowley",5,4180,0.109379853930169,"+",1976.23495063841,0.0754152038759478,"+",905,0.0550381864638601,"+",954.807450577004,0.069178347752116,"+",NA,"NA","NA",295,0.000937194835127999,"+",201,0.000226111079779401,"+",3885,0.0190119844960477,"+"
"6","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1921-11-14,2022-10-26,101,"Cowley",6,1900,0.000274305841878317,"+",955.264457471639,0.00516918764946469,"+",185.5,0.00135415789069932,"+",231.081326983523,4.94937179317059e-05,"+",NA,"NA","NA",27,3.1678159576653e-05,"+",15,1.13262821747047e-05,"+",1873,0.0019021867454576,"+"
