"","interval","meanP","meanPET","meanSF","siteID","group","PET.P","AET.P"
"184",1995,1.26461648902487,1.74539400784681,0.0190653071685677,"07137500","Impacted",1.38017653810023,0.984924040344224
"185",2000,0.955962310470261,1.83442272734939,0.00628551737399384,"07137500","Impacted",1.91892787744633,0.993424931814622
"186",2005,1.08836638783717,1.78703797739046,0.00513046062855669,"07137500","Impacted",1.64194521014353,0.995286090524394
"187",2010,0.904410724819025,1.85483695256869,0.00288801173045828,"07137500","Impacted",2.05087898856999,0.996806747585798
"188",2015,1.13191398445204,1.83668111323937,0.00792469389079516,"07137500","Impacted",1.62263311388322,0.992998855037
"189",2020,0.714253665639956,1.88915008153454,0.00413514047845475,"07137500","Impacted",2.64492878708841,0.99421054356823
"190",1990,1.19484556644435,1.74432878212921,0.0046934150640281,"07138000","Impacted",1.45987802199411,0.996071948379074
"191",1995,1.26589094890922,1.74856729324506,0.0184851689756457,"07138000","Impacted",1.38129377949321,0.98539750284843
"192",2000,0.956946551400708,1.83778990749198,0.00574670049855993,"07138000","Impacted",1.9204728882736,0.993994752904278
"193",2005,1.08864642767848,1.79039053054944,0.00462674203630326,"07138000","Impacted",1.64460240260689,0.995750004851282
"194",2010,0.904451646918772,1.8585248937806,0.00241804285230654,"07138000","Impacted",2.054863739938,0.997326509536973
"195",2015,1.13411652200283,1.83985364300577,0.00758626578303505,"07138000","Impacted",1.62227919910436,0.993310858597106
"196",2020,0.715177893772382,1.89238729602677,0.00378427165192721,"07138000","Impacted",2.64603717830944,0.994708628881178
"197",2000,0.956184116685832,1.84295785066969,0.004984826048624,"07138020","Impacted",1.92740897752772,0.994786750834241
"198",2005,1.08789002877802,1.79549549956194,0.00440612176588844,"07138020","Impacted",1.65043841938577,0.995949846354564
"199",2010,0.902457096842659,1.86410706678823,0.0020705055958265,"07138020","Impacted",2.06559078909125,0.997705701907525
"200",2015,1.13457883888798,1.84477917176463,0.00721225083385077,"07138020","Impacted",1.625959438458,0.993643235192964
"201",2020,0.715209278698623,1.89745938312471,0.00355894189527447,"07138020","Impacted",2.65301281686009,0.995023915375161
"202",1990,1.21178702723549,1.78013898381356,0.00040153363498216,"07139000","Impacted",1.46901967408801,0.999668643395285
"203",1995,1.27945930220017,1.78409651501462,0.0104556006574244,"07139000","Impacted",1.39441443111685,0.991828110015344
"204",2000,0.979932879552299,1.87525475412053,0.0017596772111374,"07139000","Impacted",1.91365632611213,0.998204288020276
"205",2005,1.09487671216611,1.82800545312722,1.78107858175175e-06,"07139000","Impacted",1.66959935563035,0.99999837326106
"206",2010,0.907079324196428,1.89945005723297,1.05685951279423e-05,"07139000","Impacted",2.09402861091082,0.999988348764164
"207",2015,1.16169934658475,1.87545480315077,0.000352379007032025,"07139000","Impacted",1.61440635106181,0.999696669359359
"208",2020,0.732645559417814,1.92720117097064,0.000119977535940068,"07139000","Impacted",2.63046864366729,0.999836240683646
"209",1990,1.22184178332183,1.79159344317224,2.2630232749855e-07,"07139500","Impacted",1.46630559506765,0.999999814785899
"210",1995,1.28915971087547,1.79570007694035,0.00587967748571977,"07139500","Impacted",1.39292289527175,0.99543913959138
"211",2000,0.990410487693159,1.88775272907426,0.000603378420106712,"07139500","Impacted",1.90603063328941,0.99939077945195
"212",2005,1.10501760923492,1.84103887086988,0,"07139500","Impacted",1.66607197521907,1
"213",1990,1.26682078839296,1.83494905440746,0.00278559009685797,"07141300","Impacted",1.44846774794026,0.997801117472668
"214",1995,1.34658146398189,1.83863225974965,0.00832344343930209,"07141300","Impacted",1.36540737335917,0.993818834090669
"215",2000,1.04586150592535,1.93232066658453,0.00163001301830741,"07141300","Impacted",1.84758752056264,0.998441463798914
"216",2005,1.17298195913691,1.88704086979115,0.00279413909662251,"07141300","Impacted",1.60875523710498,0.997617918097668
"217",2010,0.967405497133971,1.96121991170834,0.000599346990136842,"07141300","Impacted",2.02729870516411,0.999380459391731
"218",2015,1.25235410378103,1.93135842258874,0.00539304773509292,"07141300","Impacted",1.54218237218826,0.995693671846636
"219",2020,0.847894731239938,1.97288741197665,0.0019702296543928,"07141300","Impacted",2.32680701894627,0.997676327518262
"220",1990,1.65514872953478,2.18826981894295,0.0153406245517821,"07142300","Reference",1.32209860050343,0.99073157337583
"221",1995,1.93598029575298,2.17911474566591,0.0356136368170721,"07142300","Reference",1.12558725439836,0.981604339209857
"222",2000,1.59492001133215,2.2703943555541,0.0109225775345615,"07142300","Reference",1.42351612583866,0.993151645564069
"223",2005,1.83377194828662,2.2554567741017,0.0160017614557663,"07142300","Reference",1.22995488954287,0.991273854161245
"224",2010,1.59331741100689,2.3301355641708,0.00565614647316845,"07142300","Reference",1.46244279267512,0.996450081801595
"225",2015,1.92659994543812,2.23814182300051,0.00601621110018607,"07142300","Reference",1.16170553637774,0.996877290942299
"226",2020,1.82577861079169,2.19990102506817,0.00637161649584457,"07142300","Reference",1.20491116067695,0.996510192167778
"227",1990,1.33419560581858,1.88095047468542,0.0117464398433454,"07143330","Impacted",1.40980113147006,0.991195863790798
"228",1995,1.41673125072335,1.88393685673687,0.017341201585804,"07143330","Impacted",1.32977715835305,0.987759709841263
"229",2000,1.12609986965809,1.97742559092552,0.00893566441665963,"07143330","Impacted",1.75599486706797,0.992064944986298
"230",2005,1.27129659078041,1.93258743654105,0.0133332753814046,"07143330","Impacted",1.52017039183177,0.989512065494316
"231",2010,1.04624494610124,2.00825844268489,0.0062638829075107,"07143330","Impacted",1.91949165457719,0.994012986221962
"232",2015,1.34279803858297,1.97353071702752,0.0158253376893772,"07143330","Impacted",1.46971522173963,0.98821465534305
"233",2020,0.955478888441699,2.00272008824238,0.00927655732124777,"07143330","Impacted",2.09603803126267,0.990291195929638
