"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1921,1840,887.439252336449,823.5,647.456756756757,194,236,232.5
"2",1922,1300,538.032876712329,280,378.402634668864,160.571428571429,207,192.6
"3",1923,648.000000000001,380.364383561644,300,340.03660728921,192.714285714286,242,242
"4",1924,338,257.967213114754,258,213.399396630237,148.571428571429,169,160
"5",1925,1070,519.967123287671,285,416.185112969223,182,237,219
"6",1926,371,274.575342465753,268,238.619730233117,129.857142857143,180,160
"7",1927,1840,790.32602739726,399,578.577829271185,192.142857142857,240,225
"8",1928,1010,514.24043715847,345,416.654233289127,184,230,205
"9",1929,520,318.260273972603,285,277.02235290674,144.857142857143,188,154
"10",1930,557,323.641095890411,257,259.827262828496,142.428571428571,196,150
"11",1931,300,220.391780821918,228,191.981070821022,100,112,105
"12",1932,1000,392.327868852459,231,326.262115422685,132.571428571429,173,145
"13",1933,593,320.405479452055,223,255.402036369462,125.142857142857,173,158
"14",1934,373,242.169863013699,234,202.834523620447,104.714285714286,127,116.6
"15",1935,1060,402.572602739726,242,349.523354088834,133.285714285714,167,157
"16",1936,1110,495.049180327869,254,366.822482373345,158.857142857143,181,164.75
"17",1937,766,355.871232876712,229,272.728584618027,135.285714285714,170,160
"18",1938,2160,869.860273972603,380,570.490576204617,184.571428571429,221,210
"19",1939,527.200000000001,306.909589041096,282,251.493723091977,129.857142857143,148.2,135.6
"20",1940,1335,577.516393442623,292,390.024755458567,147,179,169
"21",1941,806.2,420.252054794521,301,372.422272549491,171.428571428571,208,195
"22",1942,1320,606.350684931507,420,482.320381727682,169.857142857143,217,204
"23",1943,2816,995.594520547945,433,755.003637747336,230,266,240
"24",1944,494,360.510928961749,330,317.408014571949,220.285714285714,240,231
"25",1945,1120,497.682191780822,355,427.438145695651,214.571428571429,222,218
"26",1946,1492,626.641095890411,360,532.589600965781,206.428571428571,218,214
"27",1947,456,316.008219178082,300,272.0099847793,168.714285714286,196,189
"28",1948,1005,493.420765027322,303,429.932114174532,218,236,228
"29",1949,1052,440.613698630137,280,384.936187386274,166,175,168
"30",1950,1080,488.419178082192,275,385.942123287671,174.714285714286,195.4,178.8
