"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1958,423.391304347826,265,370,686,780,257.714285714286,NA
"2",1959,646.369863013699,169.4,430,1540,1980,87.7142857142857,450.873844610488
"3",1960,597.814207650273,191.5,480,1220,1440,158.428571428571,412.184167385677
"4",1961,471.115068493151,176,302,1050,1310,150.285714285714,364.515966714732
"5",1962,420.471232876712,138,261,780,1368,101.714285714286,285.0832003432
"6",1963,265.128767123288,106,134,575.000000000001,984.000000000001,79.5714285714286,154.207565231572
"7",1964,193.188524590164,72,140,480,548,55.8571428571428,161.195019832531
"8",1965,523.476712328767,163.2,360,1010,1230,135,358.35191031031
"9",1966,517.802739726027,136,393,1136,1438,100.428571428571,312.193545823841
"10",1967,539.293150684932,126.4,413,1170,1422,90.2857142857143,422.852550912021
"11",1968,641.008196721311,231,483.5,1255,1770,195.142857142857,399.263403873529
"12",1969,571.191780821918,195,444,1036,1358,154.571428571429,417.006256657477
"13",1970,473.471232876712,196,363,934.2,1118,130.285714285714,362.055015486796
"14",1971,334.298630136986,107,198,796,1050,96.5714285714286,264.743737680531
"15",1972,616.016393442623,198,597,1165,1310,157.714285714286,462.531357051017
"16",1973,599.742465753425,177.4,503,1180,1320,162.428571428571,499.069266869609
"17",1974,572.282191780822,132,378,1276,1704,122.142857142857,402.400401535493
"18",1975,527.695890410959,183.4,492,965.8,1148,141.857142857143,407.206191018928
"19",1976,530.379781420765,212,322.5,1190,1852.5,180.285714285714,362.469349845201
"20",1977,482.583561643836,170,335,1146,1230,142.857142857143,361.112741195952
"21",1978,515.624657534247,153.4,261,1066,2276,121.571428571429,410.451304512599
"22",1979,460.964383561644,172,267,1001.6,1338,137.714285714286,315.625666496497
"23",1980,532.054644808743,215,386,1240,1437.5,193.714285714286,403.974147999128
"24",1981,750.764383561644,300,515,1560,1788,269.857142857143,475.03328337448
"25",1982,827.747945205479,209,638,1490,2068,169.571428571429,563.650554970144
"26",1983,558.12602739726,160.8,499,1122,1320,112.142857142857,434.608574300837
"27",1984,590.948087431694,246,483,1100,1305,191.285714285714,393.960380074161
"28",1985,866.331506849315,211,495,2056,2950,158.714285714286,466.37348074169
"29",1986,708.813698630137,306,622,1196,1320,196.714285714286,499.303786859186
"30",1987,434.394520547945,155,405,838.8,1016,119.714285714286,324.251585720216
"31",1988,504.117486338798,127.5,398,1060,1250,92.7142857142857,291.20106846903
"32",1989,488.739726027397,203.4,384,866.4,1134,166,348.352270526878
"33",1990,920.660273972603,485,806,1482,1818,257.714285714286,655.136966947462
"34",1991,723.630136986301,211.4,715,1362,1584,178.571428571429,538.288297830504
"35",1992,587.986338797814,265.5,531.5,968.5,1180,161.857142857143,372.670811581446
"36",1993,858.34794520548,324,674,1546,2020,224,636.603535779494
"37",1994,423.852054794521,144,302,868.4,1040,110.142857142857,324.795534574141
"38",1995,480.454794520548,159.8,415,898,1078,117.428571428571,304.328560243444
"39",1996,621.628415300546,224,426.5,1295,1600,180.428571428571,424.323703638565
"40",1997,696.764383561644,310,600,1200,1472,227,531.373589260389
"41",1998,648.81095890411,215,390,1410,1748,188.571428571429,503.603406681956
"42",1999,549.312328767123,152.8,330,1156,1480,93.7142857142857,402.360312424898
"43",2000,338.420765027322,152,304,588,702,88.1428571428571,252.44038657979
"44",2001,649.775342465753,220.6,513,1266,1624,102.428571428571,496.484885109801
"45",2002,623.679452054795,134,415,1412,1638,109.714285714286,500.238666421628
"46",2003,406.241095890411,155.4,362,698.2,950,138,281.120234757558
"47",2004,466.890710382514,177.5,343,898.5,1047.5,136,302.269340149245
"48",2005,463.995616438356,123,251,1100,1514,88.7714285714286,329.070850238922
"49",2006,485.495890410959,226,407,871,1008,161.142857142857,340.312078610609
"50",2007,656.498630136986,225.8,480,1272,1578,177.285714285714,450.28655781566
"51",2008,760.746994535519,190,444.5,1640,2322.5,68.9857142857143,547.979676417904
"52",2009,844.709589041096,285,717,1602,1974,190.285714285714,594.255084689417
"53",2010,538.356164383562,133.4,498,981,1118,123.714285714286,456.368364325709
"54",2011,725.657534246575,168.6,484,1626,1956,103,484.637670644664
"55",2012,405.727322404372,112,192,980,1107.5,73.1857142857143,331.406612149235
"56",2013,464.285753424658,144.4,360,817,1308,76.8142857142857,267.664290615833
"57",2014,493.405753424658,165.4,356,1116,1462,34.6857142857143,347.871353746978
"58",2015,486.857534246575,206,370,939,1260,166.714285714286,325.953698630137
"59",2016,493.327868852459,201.5,442,852,946,105.714285714286,391.907500110617
"60",2017,677.01095890411,166.2,629,1230,1390,113,485.77577580043
"61",2018,750.342465753425,330.4,603,1160,1638,236.142857142857,494.088712990039
"62",2019,760.358904109589,361.8,675,1200,1410,184,574.274029883755
"63",2020,598.23606557377,128,534.5,1130,1412.5,97.6285714285714,478.160198147686
"64",2021,393.14652014652,213,346,582.4,746.4,151.285714285714,NA
