"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1958,973.086956521739,788.8,930.5,1277,1370,787.714285714286,NA
"2",1959,1545.6904109589,647,1250,3032,3432,489,1235.87253908953
"3",1960,1836.39890710383,827,1620,3225,3585,769.428571428571,1445.086770338
"4",1961,1331.81095890411,698.8,1180,2152,2726,552,838.440993595446
"5",1962,1200.53150684932,547.6,913,2406,3424,459,897.772258198423
"6",1963,746.109589041096,255.4,609,1306,1866,291,381.747591951428
"7",1964,596.401639344262,329,538,1030,1140,277.571428571429,365.251799809177
"8",1965,1334.13150684931,605.6,1060,2544,2880,486.714285714286,994.523701968074
"9",1966,1541.41095890411,702.4,1470,2644,3066,654,977.926742108398
"10",1967,1711.46575342466,650,1620,3170,3464,585.857142857143,1348.42730005244
"11",1968,1877.17486338798,1085,1770,2680,3492.5,935.428571428571,1361.55658376023
"12",1969,2064.79178082192,938.4,1980,3340,3648,779.571428571429,1598.47713206884
"13",1970,1694.74520547945,913.4,1570,2882,3168,804.857142857143,1352.98495687468
"14",1971,1292.68219178082,555.8,949,2624,3480,500.857142857143,1037.86227913441
"15",1972,1518.49726775956,782,1380,2485,2687.5,607.285714285714,1205.80394873797
"16",1973,2149.42739726027,1094,1890,3492,3938,963,1697.34158364467
"17",1974,2153.23835616438,769.2,1840,4236,4690,731,1658.7200913242
"18",1975,1942.23287671233,1020,2000,2900,3100,824.142857142857,1523.31328298794
"19",1976,1910.25956284153,697.5,1390,4030,4832.5,550.428571428571,1390.60386016534
"20",1977,1290.93150684932,642.8,1050,2446,2782,459.428571428571,1005.74029999681
"21",1978,1818.87945205479,967.2,1450,3498,4888,670.857142857143,1431.04578024715
"22",1979,1808.99452054795,904.4,1500,3348,3644,715.571428571428,1477.460975212
"23",1980,2103.85245901639,1375,1845,3460,3787.5,1290,1630.34166016133
"24",1981,2279.09589041096,1450,2080,3466,4028,1168.57142857143,1751.98851924331
"25",1982,2390.56164383562,955.2,2000,4156,5986,871,1929.15527629223
"26",1983,1941.55342465753,874.2,1770,3378,4270,675.714285714286,1539.34466623179
"27",1984,1685.30327868852,663.5,1600,2970,3367.5,383,1282.53173924357
"28",1985,2256.19178082192,780,1750,4568,5988,670.142857142857,1516.90703224709
"29",1986,2191.03835616438,1268,2050,3180,3930,935,1676.13360931306
"30",1987,1380.86575342466,640.4,1350,1982,2548,519.571428571428,1082.13790812648
"31",1988,1615.16393442623,448.5,1755,2830,3145,281.857142857143,1380.64444503584
"32",1989,1985.81095890411,1034,1670,2830,3584,906.142857142857,1422.11428571429
"33",1990,2245.47945205479,1020,2100,3598,4292,810.285714285714,1740.39416241382
"34",1991,2033.75890410959,823,2160,3100,3634,741.142857142857,1735.90165253316
"35",1992,2020.27322404372,1175,1990,2830,3465,790.142857142857,1771.41505823625
"36",1993,2500.57260273973,1260,2210,3966,4664,956,2083.26292512332
"37",1994,1576.86301369863,830.8,1550,2422,2784,784,1307.40698426784
"38",1995,1517.81369863014,885.8,1530,2120,2358,783.571428571429,1225.4462745837
"39",1996,1567.85245901639,729.5,1440,2770,3257.5,577.428571428571,1158.07739368021
"40",1997,2047.62465753425,1094,1890,3374,4096,639.428571428571,1636.47714819427
"41",1998,1858.79178082192,764.8,1280,3806,4024,538.857142857143,1533.28239249335
"42",1999,1419.82739726027,572,975,2770,3292,433.428571428571,1101.57335290281
"43",2000,1517.20491803279,793,1270,2675,2945,755.285714285714,1170.86635851925
"44",2001,2261.03561643836,963.6,2140,3540,4254,624.714285714286,1904.89531953792
"45",2002,1685.61095890411,623.2,1120,3088,3638,547.285714285714,1428.44109589041
"46",2003,1285.14794520548,687.4,1050,2196,2632,532.285714285714,964.693904109589
"47",2004,1772.82513661202,871,1605,2785,3157.5,747.857142857143,1385.1034592349
"48",2005,1569.68493150685,580.4,1060,3144,4016,467,1267.83538142223
"49",2006,1762.51506849315,946.2,1630,2626,2940,626.571428571429,1450.68495325071
"50",2007,2006.24931506849,772.2,1980,3336,3588,378.857142857143,1628.85743398154
"51",2008,2703.05464480874,782.5,2170,5005,5697.5,455,2110.46256798609
"52",2009,2535.17260273973,1064,2050,4566,4880,887.142857142857,2035.52469904525
"53",2010,1703.44657534247,861.8,1570,3010,3258,800.857142857143,1455.1246377671
"54",2011,2042.03287671233,879.6,1770,3820,4310,784.857142857143,1580.24109589041
"55",2012,1533.37431693989,442.5,902.5,3390,3717.5,335.857142857143,1272.49395144794
"56",2013,1700.02191780822,817.4,1440,2896,3636,620.142857142857,1201.81123769059
"57",2014,1857.57808219178,920,1690,3032,3858,651.428571428571,1486.7893590998
"58",2015,1551.91506849315,901,1320,2604,3104,830.285714285714,1263.02239933582
"59",2016,1685.44262295082,904,1670,2475,2765,567.857142857143,1378.80199415695
"60",2017,2177.95342465753,602.4,2100,3692,4034,535.142857142857,1700.41226164883
"61",2018,2656.01369863014,1260,2090,4590,6410,1018.85714285714,1921.39630505926
"62",2019,2540.2301369863,1210,2560,3746,4134,971.857142857143,2118.02080737
"63",2020,2282.89617486339,890,1740,4180,5185,674.857142857143,1818.62572387789
"64",2021,1425.12820512821,861.8,1270,2088,2436,661.428571428571,NA
