"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"80",2001,486.67397260274,24.4,69,613.600000000001,2734,16.8571428571429,80.8965143000075
"81",2002,255.896712328767,11,45,433.200000000002,1202,5.85714285714286,35.0366870307593
"82",2003,395.535068493151,13,59,778.800000000001,1770,7.2,52.5971147463071
"83",2004,323.903005464481,38,63.7,393.5,1127.5,31.8285714285714,61.4507370962318
"84",2005,451.174794520548,38.86,81.1,1003.2,2360,34.6285714285714,74.6627778421897
"85",2006,39.9298630136986,11,26.8,60.02,95.12,8.48428571428571,24.884875698972
"86",2007,451.588493150685,21.84,63,1080,2468,17.8857142857143,59.0631711714518
"87",2008,370.67349726776,57.95,102.5,697,1610,29.7285714285714,79.6323949929172
"88",2009,503.01095890411,54.6,82.6,926.4,2238,37.8571428571429,102.198953496756
"89",2010,380.868767123288,42,80,393.6,786.200000000001,33.6857142857143,67.6116227167849
"90",2011,50.9097808219178,6.078,30.4,76.4,115.6,5.15571428571429,23.6711819644587
"91",2012,69.3681147540984,5.28,13.9,113,235,4.33142857142857,15.4393020209905
"92",2013,523.30304109589,9.33,48.4,415.000000000002,4932.00000000001,6.01571428571429,31.8721342715028
"93",2014,213.211232876712,29.6,43.2,191.4,571.200000000001,12.2571428571429,44.9027166641556
"94",2015,264.928219178082,29,43.2,676.6,1780,24.2142857142857,53.6865357972557
"95",2016,363.016912568306,48.65,118.5,1170,1810,10.8757142857143,95.5034221962009
"96",2017,249.768253968254,24.98,69.1,758,1493,21.9,NA
"97",2018,193.463123287671,27.96,39.6,441.400000000001,1060,12.8142857142857,41.4688294386248
"98",2019,434.200547945205,68.44,132,1382,2348,62.5285714285714,153.263853209777
"99",2020,177.353825136612,28.9,79.3,424.5,784.5,26.5714285714286,76.9798206194984
"100",2021,258.391575091575,39.62,73.4,838.200000000001,1430,35.4285714285714,NA
