"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1963,52,46.4027397260274,NA,18.4285714285714,23,31,89.4
"2",1964,27,18.9680327868852,16.8925994982552,5.05714285714286,8.85,20,28
"3",1965,26,20.581095890411,17.9557534246575,9.01428571428571,14,20,31
"4",1966,23,13.8575342465753,12.7258968140727,4.57142857142857,7.4,11,23
"5",1967,14,11.9868493150685,7.23505160968497,2,3.3,9.4,17
"6",1968,10,7.93543715846995,5.27548181678801,0.227142857142857,0.365,7,11
"7",1969,26,24.1558904109589,14.0441407116476,5.07142857142857,7,18,44.4
"8",1970,23,14.1591780821918,12.932435147805,1.47142857142857,5.08,12,26
"9",1971,23,16.8052054794521,10.6005766004639,1.82857142857143,5.14,13,39.2
"10",1972,16.5,16.7065573770492,10.019517285476,1.9,6.9,13,24.75
"11",1973,193,154.578082191781,56.4560455146072,12.2857142857143,19,48,451.8
"12",1974,92,60.3534246575342,56.8406568317527,34.1428571428571,36,46,100.6
"13",1975,52,60.2739726027397,37.3143074581431,29.1428571428571,31.4,40,85.8
"14",1976,53.5,36.7158469945355,29.2068770825889,16.1428571428571,20,30,65
"15",1977,40,36.547397260274,20.5916312340627,10.4,15,21,61.8
"16",1978,40.6,39.1323287671233,22.6922410309954,5.74285714285714,9.5,21,73.8000000000001
"17",1979,27.6,19.7539726027397,15.5601004215118,6.02857142857143,7.82,18,29
"18",1980,32,18.8319672131148,15.4084798725469,3.1,5.55,18,34.75
"19",1981,15,9.60112328767123,7.34007958251794,0.577142857142857,1.4,10,17
"20",1982,12,6.72597260273973,5.50109160114899,0.0285714285714286,0.35,8,13
"21",1983,25,12.3389863013699,7.31097820238285,0.588571428571429,0.964,4.5,40.6
"22",1984,14,5.62781420765027,4.68959036231108,0.172857142857143,0.305,4.1,16
"23",1985,11,7.42076712328767,3.6677887473794,0.0957142857142857,0.29,5.8,16.8
"24",1986,9.56,7.82816438356164,4.27453782894794,0.29,1.1,5.6,15.6
"25",1987,50.2,33.9764383561644,15.5735669794437,5.44285714285714,6.64,21,89.8000000000001
"26",1988,23,10.4190983606557,8.9788082608384,0,0.09,3.5,25
"27",1989,20,12.1616712328767,3.30365042784237,0.212857142857143,0.944,3.8,42
"28",1990,13,5.23260273972603,3.5434592624469,0,0,2.7,19.8
"29",1991,2.7,1.41624657534247,0.576052863422726,0,0,0.16,3.7
"30",1992,6.6,3.8674043715847,1.26435418953862,0.04,0.065,0.955,7.725
"31",1993,34.6,38.4986301369863,16.9388356164384,7.85714285714286,12,17,62.4
"32",1994,18,8.06315068493151,7.88441186010736,0.05,0.09,3,19
"33",1995,29.6,24.2643835616438,9.11310751061525,1.21428571428571,2.74,6.2,59.6000000000002
"34",1996,39,28.8896721311475,12.9612142336716,0.968571428571429,5,10,81.75
"35",1997,37,30.2547945205479,25.2696663418293,20.1428571428571,21,27,51
"36",1998,46,28.4857534246575,25.2552001271179,7.5,11,24,56
"37",1999,34.6,20.558904109589,18.7950812814276,3.38571428571429,8.9,21,38
"38",2000,31,19.5502732240437,13.6549390864145,3.08571428571428,5.45,15,41.75
"39",2001,24,14.0584109589041,10.3551247360333,0.812857142857143,1.9,9.6,29
"40",2002,8.1,4.00758904109589,3.54976290262866,0,0,3.8,8.48
"41",2003,6.6,2.78,2.10968917155903,0,0,0.97,10
"42",2004,0.625,0.219125683060109,0.0585232890970596,0,0,0,1.4
"43",2005,6.628,2.86465753424658,1.57530726068534,0,0,2.41,7.674
"44",2006,3.736,1.17756164383562,0.934431394381087,0,0,0.04,4.308
"45",2007,53.2800000000001,31.2664657534247,9.44519562948467,0,0,9.57,133
"46",2008,17.25,10.0214480874317,7.9377222719689,0.741428571428571,2.27,9.7,21.275
"47",2009,23.78,14.191397260274,11.5726569020021,6.01428571428571,7.062,10.1,32.96
"48",2010,15.62,14.7130136986301,9.08988191656782,2.33285714285714,6.57,11.1,21.4
"49",2011,12.1,4.79383561643836,4.41684438584354,0,0,0.52,12.6
"50",2012,2.51,0.684262295081967,0.519811194454815,0,0,0,3.31
"51",2013,0.236,0.23613698630137,0.0121717540202501,0,0,0.01,0.6
"52",2014,1.186,0.619671232876712,0.368169806290592,0,0,0.07,1.564
"53",2015,9.91,2.15917808219178,1.53506847989729,0,0,0.18,11.58
"54",2016,2.915,1.73346994535519,0.515483407045952,0,0,0.39,4.795
"55",2017,15,4.10084931506849,2.03914372471808,0,0.03,0.25,28.06
"56",2018,3.462,1.47915068493151,0.747362235825473,0,0,0.27,4.804
"57",2019,13.96,12.9113424657534,5.60474994731296,0.481428571428571,1.408,6.12,23.44
"58",2020,6.97,4.73967213114754,3.93642090301926,1.02428571428571,1.465,4.965,8.04
"59",2021,9.84,3.92331506849315,NA,0,0,2.47,11
