"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1963,575.2,340.717808219178,NA,98.2857142857143,152.4,275,682.4
"2",1964,275,165.57650273224,114.135946780708,36.4285714285714,42,155,368
"3",1965,2572,1195.25479452055,599.745794236205,105.428571428571,152.8,656,4498
"4",1966,819.6,394.641095890411,297.860715372907,89.2857142857143,122.4,288,972.4
"5",1967,1652,633.695890410959,360.538993702764,105.714285714286,146.8,260,2926
"6",1968,414.5,291.784153005464,176.253674482978,60.5714285714286,95.5,208,658.25
"7",1969,1158,639.331506849315,425.129516831768,114.285714285714,204.8,475,1578
"8",1970,578.4,375.101369863014,225.195493289055,77,115,284,737.6
"9",1971,857.2,468.238356164384,229.80758342477,52.2857142857143,99,326,1204
"10",1972,567,342.713114754098,237.15492203607,124,188,284.5,774.75
"11",1973,4764.00000000001,2419.34794520548,1033.08402403533,210,384.2,1220,11160
"12",1974,1432,853.306849315068,584.618545837724,186.285714285714,240.4,566,2338
"13",1975,557.2,413.758904109589,282.829881927733,133.714285714286,178,317,1026
"14",1976,653,349.502732240437,240.024890031038,82.4285714285714,106.5,175,1287.5
"15",1977,636,379.704109589041,212.43164773533,100,129.4,254,1294
"16",1978,765.2,329.356164383562,228.304941861791,73.7142857142857,100.4,220,1018
"17",1979,1028,536.958904109589,231.621633639672,60,85.8,291,1818
"18",1980,646,377.398907103825,171.899064471601,33.4285714285714,56,199.5,1117.5
"19",1981,1032,448.087671232877,249.520199376307,57.2857142857143,70.4,261,1590
"20",1982,606.2,305.520547945205,206.791188719956,99.4285714285714,116.4,220,782.8
"21",1983,533.8,238.172602739726,178.996311114644,61.8571428571428,78.8,126,672.2
"22",1984,553.5,228.472677595628,144.955471368875,45.5714285714286,54,117,977.5
"23",1985,532.4,299.383561643836,143.756977661071,81.8571428571428,95,186,702.8
"24",1986,321.6,264.378082191781,173.580991519896,143,153,188,543.600000000001
"25",1987,2850.00000000001,1177.4904109589,698.260258858844,142.142857142857,160.4,445,4646
"26",1988,318.5,197.606557377049,162.571766848816,66.2857142857143,77,149,419.75
"27",1989,653,279.468493150685,161.423521353747,56.2857142857143,71.4,161,935.000000000001
"28",1990,390.6,211.416438356164,159.276907110367,67.7142857142857,102,156,557.6
"29",1991,158.6,94.627397260274,75.6450260926288,37.8571428571429,42,71,198.8
"30",1992,551,255.453551912568,153.430246552173,46.8571428571429,62.5,150,847
"31",1993,3584,1582.96164383562,666.762782719564,159.142857142857,342,811,5486
"32",1994,363.8,220.893150684931,198.828414872798,90.5714285714286,95,185,408.6
"33",1995,1098,604.824657534247,346.858918159466,99,112,179,2464
"34",1996,1385,655.196721311475,339.797738312083,118.857142857143,140,384.5,2150
"35",1997,933,557.509589041096,367.327545461828,200.142857142857,319,439,1194
"36",1998,1548,785.183561643836,641.495889817563,153.571428571429,221.2,649,1870
"37",1999,1990,888.479452054794,728.943894324853,238.714285714286,270,551,2290
"38",2000,1070,529.931693989071,329.902134603743,106,132.5,313.5,1470
"39",2001,1232,541.104109589041,325.950456621005,106.571428571429,137.4,276,1894
"40",2002,337.2,252.643835616438,141.240802599227,52.8571428571428,108,144,646.2
"41",2003,422.2,248.345205479452,145.527162426614,57.5714285714286,87.4,133,652.200000000001
"42",2004,412,226.773224043716,150.213841310659,97.1428571428571,109,137.5,583.75
"43",2005,364.8,252.491780821918,149.892635355512,90.2571428571429,95.58,175,768.2
"44",2006,127,106.594794520548,74.5080163375437,42.0571428571429,54.48,87.2,174.4
"45",2007,2188,1144.98082191781,543.238269465297,113.471428571429,151.4,453,4236
"46",2008,1040,573.967213114754,388.625682013274,276.428571428571,307,400,1600
"47",2009,1020,606.076712328767,399.912199558432,237.714285714286,267,341,2058
"48",2010,610,426.26301369863,277.05817730215,155,179,294,865.6
"49",2011,207,129.685753424658,112.440440609619,38.5714285714286,51.7,119,225
"50",2012,141,79.242349726776,64.3053791140994,24.1571428571429,33.15,54.65,165.5
"51",2013,450.2,392.223561643836,109.489888286751,39.9857142857143,46.42,127,1544
"52",2014,365.4,234.084383561644,149.833820395738,104.542857142857,115.4,140,614.6
"53",2015,450.6,247.424657534247,161.502557883427,82.6857142857143,88.6,127,758.200000000001
"54",2016,786.5,419.66393442623,223.604849726776,108.714285714286,118,194,1555
"55",2017,1036,440.201917808219,286.071196367659,104.242857142857,129,163,1670
"56",2018,889.2,518.935890410959,196.536996136284,82.8571428571429,112.4,136,1382
"57",2019,2852,1560.27671232877,709.938522208385,286,335.4,600,9644
"58",2020,653,373.505464480874,296.52635796246,156,166.5,327,940
"59",2021,492.4,NA,NA,137.714285714286,152,198,871.299999999999
