"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1962,84.4891304347826,62,67,119.9,174.6,61.7142857142857,NA
"2",1963,119.049315068493,26,46,136.2,483.2,17.8571428571429,37.8482447689297
"3",1964,122.590163934426,21,40,182,367.75,15.5714285714286,31.4095401366375
"4",1965,483.715068493151,45,72,858.6,2862,40.5714285714286,69.8419216018283
"5",1966,59.5671232876712,18,38,76,107,16.2857142857143,34.822651275665
"6",1967,379.161643835616,21,57,1096,2330,14.5714285714286,62.6201166071922
"7",1968,196.27868852459,24,52.5,200,496.25,18,39.3094162030349
"8",1969,363.783561643836,49.4,90,925.6,1648,36,85.3217822715083
"9",1970,208.150684931507,23,47,283.6,1108,15.1428571428571,42.0868387267553
"10",1971,299.065753424658,28,58,560.600000000003,1868,19,49.6560481527605
"11",1972,113.713114754098,27,42,149,298.5,19.2857142857143,34.9291694136468
"12",1973,1252.8,59,215,3462,7908,50.1428571428571,196.333926212963
"13",1974,553.076712328767,63.4,134,1242,3022,48,119.022332035011
"14",1975,284.430136986301,50,101,482.8,1270,37.5714285714286,94.1336684588715
"15",1976,233.975409836066,29,52,374.5,935.5,23.4285714285714,65.4256798074421
"16",1977,593.816438356164,36,98,1366,4556.00000000001,30.8571428571429,79.1322558035572
"17",1978,230.8,22,66,519.200000000001,892,13.8571428571429,72.5998247745012
"18",1979,588.750684931507,23,116,1416,2246,18.5714285714286,85.3587425360028
"19",1980,343.795081967213,21,80,432,1497.5,14.1428571428571,71.7534173454189
"20",1981,209.832876712329,26,47,277.4,474.6,12,36.9902743619158
"21",1982,241.143561643836,18,56,539.400000000001,1320,13.2857142857143,58.1743594191197
"22",1983,267.995616438356,14,33,525,1264,8.84285714285714,46.831447793098
"23",1984,395.15956284153,8.85,41,808.5,2302.5,5.62857142857143,66.8235837676724
"24",1985,614.257534246575,39.4,101,1562,3080,17.5714285714286,61.648932132267
"25",1986,295.208219178082,56.4,83,428.6,1062,39.8571428571428,64.1737019145238
"26",1987,633.780821917808,60,114,1292,3934,54.8571428571429,98.9966870944484
"27",1988,90.5901639344262,14,52,137,217.75,12,38.5915620437946
"28",1989,225.883561643836,22,36,544.800000000001,1266,10.0142857142857,41.4204368461562
"29",1990,107.776438356164,12,37,185,457.6,3.15714285714286,34.9469032152647
"30",1991,48.806301369863,4.32,20,102.6,219.8,2.02857142857143,13.9552235435797
"31",1992,350.437158469945,22,44,787,2075,19.1428571428571,61.8494634445454
"32",1993,1588.86301369863,67,189,5628,9176,64.4285714285714,150.786568460379
"33",1994,73.0728767123288,13,50,96.4000000000001,160.6,9.94285714285714,34.2444227005871
"34",1995,693.608219178082,27,48,1242,5084.00000000002,24.4285714285714,104.978253424658
"35",1996,242.29262295082,34.5,55,429.5,1247.5,7.44285714285714,45.4682720649114
"36",1997,358.249315068493,53.4,80,1180,2120,34.8571428571429,64.7236364043334
"37",1998,616.824657534247,26,138,1558,2528,18.1428571428571,119.182625747876
"38",1999,509.002739726027,60.4,132,1778,2596,55.2857142857143,111.470572086462
"39",2000,331.754098360656,23,90,829.5,1767.5,21,85.5052884425835
"40",2001,486.67397260274,24.4,69,613.600000000001,2734,16.8571428571429,81.0219302387111
"41",2002,255.896712328767,11,45,433.200000000002,1202,5.85714285714286,34.6897684851398
"42",2003,395.535068493151,13,59,778.800000000001,1770,7.2,51.2666213390871
"43",2004,323.903005464481,38,63.7,393.5,1127.5,31.8285714285714,61.3554433969188
"44",2005,451.174794520548,38.86,81.1,1003.2,2360,34.6285714285714,74.4704560739011
"45",2006,39.9298630136986,11,26.8,60.02,95.12,8.48428571428571,23.1394518637655
"46",2007,451.588493150685,21.84,63,1080,2468,17.8857142857143,52.8577132182886
"47",2008,370.67349726776,57.95,102.5,697,1610,29.7285714285714,78.4964566262517
"48",2009,503.01095890411,54.6,82.6,926.4,2238,37.8571428571429,100.916362741292
"49",2010,380.868767123288,42,80,393.6,786.200000000001,33.6857142857143,61.5651890589642
"50",2011,50.9097808219178,6.078,30.4,76.4,115.6,5.15571428571429,21.7555632991237
"51",2012,69.3681147540984,5.28,13.9,113,235,4.33142857142857,15.981350262215
"52",2013,523.30304109589,9.33,48.4,415.000000000002,4932.00000000001,6.01571428571429,31.5704498253956
"53",2014,213.211232876712,29.6,43.2,191.4,571.200000000001,12.2571428571429,44.628111242324
"54",2015,264.928219178082,29,43.2,676.6,1780,24.2142857142857,54.3612970775319
"55",2016,363.016912568306,48.65,118.5,1170,1810,10.8757142857143,95.1565707985812
"56",2017,249.768253968254,24.98,69.1,758,1493,21.9,NA
"57",2018,193.463123287671,27.96,39.6,441.400000000001,1060,12.8142857142857,41.9302677103718
"58",2019,434.200547945205,68.44,132,1382,2348,62.5285714285714,175.729025440313
"59",2020,177.353825136612,28.9,79.3,424.5,784.5,26.5714285714286,72.8077014222369
"60",2021,258.391575091575,39.62,73.4,838.200000000001,1430,35.4285714285714,NA
