"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1962,250.630434782609,154,177,452.2,600.7,151,NA
"2",1963,269.728767123288,36.4,119,365,863.200000000001,22.8571428571429,87.1665742717455
"3",1964,678.215846994535,24,58,895.5,1872.5,15.5714285714286,96.0767808845678
"4",1965,1640,154.8,350,3150,8652.00000000001,100.571428571429,289.073251831794
"5",1966,136.208493150685,15,90,233.6,378.2,8.67142857142857,69.3418517365435
"6",1967,593.917808219178,20,166,1376,3204,7.5,122.823268756301
"7",1968,844.407103825137,118,238.5,1915,3880,97.2857142857143,181.621644590956
"8",1969,1728.40821917808,184.4,511,3580,9368.00000000001,103.142857142857,453.185289368166
"9",1970,920.246575342466,61,181,1358,3412,30.8571428571429,194.431793275218
"10",1971,356.364383561644,30.4,180,818.800000000001,1176,16.4285714285714,117.719128911423
"11",1972,259.617759562842,27.5,117.5,465.5,888.75,7.58571428571428,99.6653891797334
"12",1973,2201.64657534247,59,500,4706,11460,26.1428571428571,449.829588612799
"13",1974,1310.17534246575,107.4,443,2820,5966,72.5714285714286,299.161812434141
"14",1975,1101.78082191781,70.8,382,3194,4390,44.8571428571429,401.560409380463
"15",1976,630.188524590164,32,68,514,1487.5,13.1428571428571,90.4097692902297
"16",1977,983.819178082192,41,233,1880,4176,29.7142857142857,181.232940639269
"17",1978,532.986301369863,23,144,1252,2070,16.4285714285714,200.890266666363
"18",1979,855.906849315068,41,157,1486,3302.00000000001,22,185.809621269142
"19",1980,296.131420765027,9.15,70,508.5,1225,1.1,89.7732309035075
"20",1981,184.717534246575,19,41,324,667,8.12857142857143,38.847862411561
"21",1982,883.750684931507,58.4,150,2632,4164,49,284.88224712202
"22",1983,891.312328767123,66.4,174,1678,3710.00000000001,31.8571428571429,203.573907021966
"23",1984,1132.0956284153,52.5,138,3120,5597.5,29.1428571428571,379.87292621353
"24",1985,1541.61095890411,222.4,596,3460,5194,92.7142857142857,505.249797593578
"25",1986,1536.1397260274,239.4,446,3448,6492,177.571428571429,430.906332042318
"26",1987,1384.34520547945,135.4,505,2862,5894.00000000002,120.571428571429,492.559704172033
"27",1988,669.20218579235,49,224,1495,2202.5,38.5714285714286,253.554915272948
"28",1989,719.676712328767,53,138,1136,3506,31.1428571428571,159.697898505604
"29",1990,629.109589041096,51,157,1420,2684,41.4285714285714,225.401690989122
"30",1991,111.020273972603,21,57,187.6,369.2,9.77142857142857,43.0522885214845
"31",1992,975.346994535519,75,185,2330,4617.5,60.2857142857143,264.194028103045
"32",1993,1931.90136986301,121,663,4962,7850,98.7142857142857,477.277290917772
"33",1994,519.852054794521,44,113,825.400000000001,2294,31.1428571428571,119.276203522505
"34",1995,2305.58904109589,104,213,6574,9802,89.5714285714286,601.826971989694
"35",1996,415.210382513661,55,123,858.5,1575,30.7142857142857,127.460496986476
"36",1997,1250.09315068493,158,489,2894,5012,122.285714285714,378.862999395403
"37",1998,2027.60547945205,94.6,578,3904,8470.00000000001,44.8571428571429,456.005107484511
"38",1999,1904.95342465753,154.4,726,4980,7632,111.428571428571,617.614842022513
"39",2000,912.997267759563,71.5,244,2695,4405,50.5714285714286,228.729012345679
"40",2001,855.613698630137,64,178,2194,3468,50.4285714285714,263.099388830348
"41",2002,708.687671232877,56,141,1376,4374,38.2857142857143,119.703113132503
"42",2003,1425.80273972603,117,369,2986,7546,57,306.71197686516
"43",2004,1764.41147540984,155,552.5,3740,8190,103.8,383.436601364745
"44",2005,2126.26849315069,145,523,4834,10412,121.428571428571,413.558173515982
"45",2006,223.811232876712,33.2,95.1,306.6,800.200000000001,26.6714285714286,77.0512619800291
"46",2007,1843.35479452055,85.34,245,3180,9214,61.5857142857143,373.094835552486
"47",2008,2857.65573770492,306,938,7995,12250,224,744.34518909212
"48",2009,1768.55342465753,295.2,659,3716,7482,229.571428571429,735.683166251557
"49",2010,1028.58493150685,103,441,1936,4334,89.6428571428571,400.838640095043
"50",2011,132.481095890411,19.32,85.4,198.2,245.8,11.5285714285714,59.9310660501644
"51",2012,286.977595628415,22.65,76.2,604,1225,11.6571428571429,110.812300611501
"52",2013,998.915616438356,41.74,185,2034,5714,18.0428571428571,458.146462253528
"53",2014,324.045205479452,48.72,154,412,1440,41.7714285714286,165.47452158572
"54",2015,755.72794520548,56.12,117,1658,3296,42.0571428571428,183.715221472434
"55",2016,2100.74590163934,186,533.5,5000,10135,148.428571428571,452.979514098808
"56",2017,1252.76849315068,108.4,261,3136,5606,91.3,408.333871894348
"57",2018,880.011780821918,88.18,178,1216,3482.00000000001,51.0285714285714,195.696327281466
"58",2019,3241.12602739726,252,937,6358,13540,212,698.109694415174
"59",2020,1173.73907103825,100.5,391,2780,4900,66.6,337.966974619188
"60",2021,1128.68534798535,158.2,411,2676,4676,94.6571428571429,NA
