"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1962,322.478260869565,216,276,445.6,210.428571428571,NA
"2",1963,352.947945205479,86,225,535.2,31,169.015990174989
"3",1964,366.030054644809,67,235,466.5,23,159.649321079649
"4",1965,410.539726027397,130.8,198,699.000000000001,74.7142857142857,164.851104785625
"5",1966,126.306849315068,43,99,220,12.4285714285714,96.8282378808406
"6",1967,212.665753424658,81,119,322.4,64.5714285714286,100.238502168592
"7",1968,295.147540983607,67,142,351,42.4285714285714,121.050539517364
"8",1969,454.709589041096,94.4,304,893.8,51.8571428571429,235.500633250679
"9",1970,330.443835616438,56,168,490.6,28.8571428571429,177.458519230143
"10",1971,331.671232876712,72,202,702.6,38,208.029116685445
"11",1972,130.83606557377,61.5,116,210.5,31.5714285714286,84.5954810814634
"12",1973,1243.11232876712,76.4,439,2472,47.2857142857143,531.821327241086
"13",1974,584.117808219178,104.4,321,1520,49.8571428571428,268.245554367733
"14",1975,570.81095890411,92.4,301,1184,81,320.99297218763
"15",1976,307.743169398907,67,149.5,500,37.8571428571428,143.970303604794
"16",1977,668.01095890411,129.4,228,1916,93.7142857142857,276.773472053061
"17",1978,398.095890410959,61.2,180,872.4,36.5714285714286,215.90806468606
"18",1979,752.912328767123,53.2,308,2136,36.2857142857143,402.305429124786
"19",1980,459.855191256831,39.5,195.5,1010,25,213.587086658494
"20",1981,346.271232876712,81,160,824,45.1428571428571,176.366397577711
"21",1982,510.408219178082,93,178,1280,77.4285714285714,221.740683506535
"22",1983,546.093150684932,82,212,1272,47.8571428571429,254.420494915943
"23",1984,588.521857923497,48,219,1805,24.2857142857143,313.179121240414
"24",1985,845.378082191781,185.4,434,1610,98,324.359013364502
"25",1986,594.2,181.4,419,1230,116.857142857143,332.469740867075
"26",1987,938.038356164384,237.4,462,2090,168.857142857143,514.570173085554
"27",1988,374.368852459016,70,153,869,54,244.974763073836
"28",1989,448.115068493151,130.4,180,926.8,89.8571428571428,219.096118741657
"29",1990,288.550684931507,58,162,543,19.4285714285714,196.241395707686
"30",1991,223.191780821918,52,133,423.000000000001,41.8571428571429,111.494830569575
"31",1992,368.819672131148,103,158,760,78,173.449513012951
"32",1993,1125.14794520548,117,671,2306,99.2857142857143,613.304756563432
"33",1994,191.731506849315,55,149,380,36.1428571428571,127.512692003983
"34",1995,790.561643835616,133.4,194,2156,115.714285714286,451.667774298761
"35",1996,395.213114754098,112,207.5,688.5,41.5714285714286,181.414851514626
"36",1997,586.904109589041,207.4,351,1074,139,252.815551550108
"37",1998,687.112328767123,65.8,348,1468,63,348.981098269581
"38",1999,713.32602739726,126.6,403,1586,61.5714285714286,301.747106200697
"39",2000,518.745901639344,77,247.5,1205,45.2857142857143,194.154068945231
"40",2001,501.016438356164,69.4,220,1096,57.1428571428571,251.546154790683
"41",2002,361.676712328767,88.8,200,439.4,52.2857142857143,161.484019415986
"42",2003,573.202739726027,63,240,1412,33.1428571428571,269.005053816047
"43",2004,661.20218579235,135.5,293.5,1420,90.5714285714286,320.06144652232
"44",2005,695.714794520548,164.4,314,1306,106.271428571429,330.821226647391
"45",2006,201.172876712329,77.28,151,250.2,40.9,117.132967028604
"46",2007,812.197534246575,120,260,1850,96.4571428571429,367.08871878502
"47",2008,748.162295081967,152.5,329.5,1395,104.342857142857,316.37617143426
"48",2009,767.532054794521,141.4,366,1560,107.857142857143,389.294865550482
"49",2010,607.060273972603,129.4,338,1426,112.714285714286,349.357538365774
"50",2011,154.671589041096,25.98,119,330.6,9.19142857142857,102.282760226075
"51",2012,180.166857923497,20.75,89.3,317,2.67285714285714,99.3204060914509
"52",2013,398.415342465753,105.4,172,1114,56.1142857142857,267.330423148642
"53",2014,179.847945205479,59.54,141,305.6,48.9428571428571,116.573413323985
"54",2015,362.704657534247,84.62,141,723.600000000001,70.8142857142857,132.555874819885
"55",2016,823.773224043716,221.5,325.5,1315,188.428571428571,331.859222042021
"56",2017,581.627671232877,84.4,256,1238,64.2285714285714,338.169077186353
"57",2018,670.315616438356,105,177,1866,44.8142857142857,311.10231705119
"58",2019,1201.7698630137,211.4,599,2164,173,531.092218571803
"59",2020,339.834699453552,93.55,221.5,756.5,78.3142857142857,208.3700200594
"60",2021,347.876923076923,69,193,663,58.1428571428571,NA
