"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"56",2002,3023.5698630137,1130,2220,5670,962.142857142857,2527.87850323193
"57",2003,2294.46575342466,1200,2100,3788,1137.14285714286,1826.7954816497
"58",2004,3095.71038251366,1615,2820,4700,1422.85714285714,2509.51571715277
"59",2005,2816.62465753425,1124,1930,5664,935.571428571428,2363.00495570871
"60",2006,3125.45205479452,1904,2920,4706,1657.14285714286,2635.37395170475
"61",2007,3948.78356164384,1612,3850,6506,1005.14285714286,3340.88313695437
"62",2008,4900.84153005464,1585,3595,8945,1059.71428571429,3975.52656814952
"63",2009,4587.53424657534,2116,3780,7812,1362.85714285714,3713.41672764401
"64",2010,3157.75342465753,1520,2930,5610,1450,2805.71151238411
"65",2011,3779.17808219178,1518,3180,7292,1207.14285714286,2981.76627824231
"66",2012,2796.16120218579,947.5,1775,5860,735.857142857143,2439.8466996676
"67",2013,2993.20547945205,1510,2540,4868,1184.28571428571,2346.43809180485
"68",2014,3288.35616438356,1690,2850,5522,1357.14285714286,2716.7033570625
"69",2015,2825.80821917808,1748,2450,4706,1574.28571428571,2345.90064219959
"70",2016,2922.00819672131,1525,2885,4165,910.714285714286,2579.06219773008
"71",2017,3747.42465753425,1388,3780,6096,1238.57142857143,3071.47358121331
"72",2018,4988.65753424658,2594,4010,8118,2335.71428571429,3781.9166235951
"73",2019,4566.38356164384,2340,4480,6702,1908.57142857143,3896.06072846484
"74",2020,3637.51639344262,1395,2835,6455,1038.71428571429,2992.5216962419
"75",2021,3118.32876712329,1780,2660,4956,1450,2554.87891101646
"76",2022,3476.73913043478,2920,3220,4560,2907.14285714286,NA
