"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1987,34.3695652173913,25,32,46.9,24,NA
"2",1988,29.7956284153005,13,27,45,9.64285714285714,22.48064135837
"3",1989,30.4876712328767,17,25,44,14,22.0472542006883
"4",1990,34.8356164383562,16,28,48.6,12.8571428571429,22.9224853228963
"5",1991,38.6904109589041,22,34,59,18.8571428571429,30.1097471782403
"6",1992,36.9071038251366,20,32,54,16.4285714285714,28.4915602460684
"7",1993,38.558904109589,23,32,61,17.4285714285714,28.6667677646951
"8",1994,43.1041095890411,23,35,69.6,18,29.5902359208524
"9",1995,32.2657534246575,18,31,46,15,25.5050331593825
"10",1996,32.8306010928962,18,30,50,14,24.24398673579
"11",1997,35.4876712328767,20,28,57.6,16,27.7587105200473
"12",1998,26.7980821917808,11,22,49,7.68571428571429,20.065360864402
"13",1999,22.4786301369863,11,20,33,7.74285714285714,16.9467677756034
"14",2000,26.2950819672131,17,22,36,13.1428571428571,19.8360878420305
"15",2001,29.172602739726,16,25,44,11,22.1044532757957
"16",2002,26.9887671232877,14,23.6,41.3,12.1428571428571,20.9528982614216
"17",2003,19.6011232876712,9.972,16.3,31.54,8.30714285714286,14.8939661297607
"18",2004,31.233606557377,14.5,23.25,55.2,13.8428571428571,22.0248224282548
"19",2005,32.6613698630137,16.84,27.4,52.9,13.9,22.6298934550989
"20",2006,40.6717808219178,19.9,35.3,66.1,16.1857142857143,28.8064375008059
"21",2007,30.8591780821918,15.1,24.4,52.88,11.6857142857143,24.8298137466955
"22",2008,31.6132786885246,14.85,25.65,50.7,10.08,22.6748338911902
"23",2009,38.9649315068493,18.14,32,59.56,16.3714285714286,27.6864730504074
"24",2010,27.4802739726027,16.2,23.9,40.64,12.3428571428571,21.1487399220704
"25",2011,32.573698630137,18.44,27.5,51.88,13.8,23.325647852508
"26",2012,25.5775956284153,13.4,22.7,39.05,10.8,20.1218593382938
"27",2013,38.5709589041096,18.6,28.9,65.28,13.2571428571429,25.9612975943387
"28",2014,38.8843835616438,25.4,30.9,54.42,20.6285714285714,28.4049848963822
"29",2015,30.9139726027397,17.84,27,47.94,11.7,23.493202256245
"30",2016,36.5546448087432,18.5,29.6,63.35,11.1714285714286,25.4377531188766
"31",2017,36.2975342465753,16.1,31,59.3000000000001,14.8571428571429,26.0715476190476
"32",2018,38.3774520547945,17.76,33.6,60.4,10.4385714285714,26.8936657443063
"33",2019,49.3084931506849,20.4,42.6,76.48,14.6571428571429,34.0100176125245
"34",2020,44.4226775956284,22.4,40,65.2,13.2285714285714,34.2424175371352
"35",2021,30.2733150684932,15.7,28.5,42.1,11.0914285714286,NA
"36",2022,NA,27.81,28.65,29.49,NA,NA
