"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1975,79.24,15.4,34,156.4,11.4285714285714,NA
"2",1976,65.5904371584699,8.5,22,197.5,6.7,34.9734048920115
"3",1977,29.8021917808219,7,13,79.6,5.75714285714286,16.5244325859475
"4",1978,39.7224657534247,8.9,19,68,4.94285714285714,19.2912282666229
"5",1979,43.6068493150685,7.32,18,119.2,4.41428571428571,21.7908509628553
"6",1980,62.3882783882784,14,38,135.4,12,NA
"7",1989,54.5469387755102,20,32,96,17.7142857142857,NA
"8",1990,73.7472527472527,15,46,157.8,12.4285714285714,NA
"9",1994,95.8804347826087,35.1,76.5,179.9,33.2857142857143,NA
"10",1995,56.6465753424658,17,40,107,13,34.0257823743188
"11",1996,45.4322404371585,11,27,92,9.11428571428571,23.4136795461752
"12",1997,67.0690789473684,16,46,125.7,11.4285714285714,NA
"13",2013,53.0393442622951,20.7,40,91.7,19.4,NA
"14",2014,72.3786301369863,22.84,39.4,172.8,17.9,39.1054308186406
"15",2015,59.7684931506849,17.94,36.4,119.6,15.5714285714286,30.9717487303612
"16",2016,94.6030163934426,13.14,68,210.6,8.78571428571428,NA
"17",2019,90.8110204081633,17.94,61,183.6,16.2285714285714,NA
"18",2020,87.0898907103825,17.4,48.3,185,12.7142857142857,42.8694830930277
"19",2021,51.1978082191781,18.04,36.1,93.5,11.6285714285714,28.4304817574794
"20",2022,NA,20.33,31.8,73.6000000000001,20.1428571428571,NA
