"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"83",2010,903.016438356164,288.4,653,1952,2536,260.714285714286,620.329092688134
"84",2011,1468.16438356164,403.4,1110,3006,3606,309.714285714286,991.883403589121
"85",2012,807.18306010929,173.5,426,1970,2145,151,610.530329593752
"86",2013,937.958904109589,284.4,679,1940,2890,226,566.343519490709
"87",2014,1011.0301369863,413.2,678,2024,3004,328.142857142857,726.369032076844
"88",2015,896.306849315068,335.4,593,1702,2668,275.142857142857,631.937225289163
"89",2016,1034.68032786885,304.5,851,2020,2285,183.571428571429,690.781363782473
"90",2017,1291.15616438356,205,1030,2668,2948,167,745.144814212712
"91",2018,1231.00547945205,282.4,821,2428,3588,225.285714285714,728.930383999562
"92",2019,1205.08767123288,340.6,1090,2126,2542,278.285714285714,788.55466506365
"93",2020,1250.95355191257,316,919.5,2505,3130,256.285714285714,802.967858259004
"94",2021,873.347985347985,355.2,654,1566,2124,301.428571428571,NA
