"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1960,13.5,10.1620218579235,9.2,8.51295334828476,6.94285714285714,7.7,7.4
"2",1961,14,10.3534246575342,10,8.98111652730831,4.37142857142857,6.3,5.24
"3",1962,11,8.43041095890411,8.2,7.16056503085955,4.28571428571429,6.4,5.84
"4",1963,9.96,7.46547945205479,7,6.52400695803435,3.45714285714286,5,4.3
"5",1964,7.65,5.34098360655738,6,4.54644248283593,1.27142857142857,2.2,1.5
"6",1965,7.5,4.84547945205479,4.5,3.90961408616531,2.04285714285714,2.7,2.5
"7",1966,9.2,6.18109589041096,5.6,4.87204706972912,3.28571428571429,4.08,3.8
"8",1967,14,10.0687671232877,9.2,8.20660117898117,5.01428571428571,6.7,5.3
"9",1968,16,11.5546448087432,11,10.0049003535841,6.45714285714286,8.45,7.6
"10",1969,16,12.6638356164384,12,11.2138711264703,8.11428571428571,10,9.4
"11",1970,16,12.4460273972603,12,11.0249799131214,6.84285714285714,9.1,8.1
"12",1971,16,11.6457534246575,11,10.2542312558066,6.64285714285714,8,7
"13",1972,13,9.41830601092896,9,7.55747305214518,5.28571428571428,7,6.35
"14",1973,14,11.638904109589,11,10.1151146159776,7.21428571428571,9.08,7.86
"15",1974,16,12.6895890410959,12,11.3022940324516,8.01428571428571,10,9.26000000000001
"16",1975,18,14.1328767123288,14,12.4229348771472,9.12857142857143,10,10
"17",1976,16,12.8846994535519,13,11.5966192960045,8.42857142857143,9.5,9
"18",1977,13,9.44246575342466,9.7,8.16233117039173,3.25714285714286,4.9,4.4
"19",1978,12,8.07616438356164,7.2,6.61557534246575,3.81428571428571,5.1,4.6
"20",1979,13,9.99835616438356,9.5,8.61806849315069,6.74285714285714,7.6,7.3
"21",1980,14.5,11.0857923497268,11,9.51449289623632,5.78571428571429,8.6,8.1
"22",1981,12,8.29643835616438,8.1,6.90477735434477,3.85714285714286,5,4.14
"23",1982,13,9.27260273972603,8.2,7.80275603235985,6.02857142857143,6.8,6.3
"24",1983,15,10.4630136986301,10,8.63680952380952,4.91428571428571,5.68,5.4
"25",1984,12,8.25737704918033,8.6,6.89560412871888,3.22857142857143,4.2,4
"26",1985,14,9.5945205479452,8.4,8.16248867810872,5.11428571428571,7,6.5
"27",1986,16,11.081095890411,10,9.12087319113287,4.72857142857143,6.8,6.1
"28",1987,12,8.7013698630137,9.3,7.56371546817288,3.97142857142857,4.4,4.1
"29",1988,9.5,5.95464480874317,5.8,4.5267044976881,1.42857142857143,2.4,1.925
"30",1989,13,9.18054794520548,8.3,7.43622627468488,4.6,6.7,6.02
"31",1990,11,8.38082191780822,8.4,6.97590050468637,4.24285714285714,4.9,4.6
"32",1991,14.6,10.3635616438356,9.5,8.57792227555349,6.62857142857143,7.6,7.22
"33",1992,16,11.8024590163934,11,9.94950472720964,6.14285714285714,7.6,6.825
"34",1993,15,11.327397260274,10,8.76793992939642,5.71428571428571,7.34,6.32
"35",1994,15,10.2556164383562,9.9,8.04319176220745,4.15714285714286,5.6,4.82
"36",1995,15,9.5227397260274,8.1,6.39336119758125,3.14285714285714,5.14,4.7
"37",1996,10,7.06661202185792,7.25,5.52266344652615,1.15428571428571,2.55,1.8
"38",1997,12,8.42849315068493,7.7,6.26076245864635,2.31428571428571,4.8,4.32
"39",1998,14,9.20219178082192,11,7.71807124910187,2.77142857142857,3.5,3.1
"40",1999,10,5.9698904109589,5.8,4.66010899652098,0.568571428571429,1.4,1.1
"41",2000,5.7,3.3281693989071,2.9,2.35779822296435,0.614285714285714,1.2,0.862500000000001
"42",2001,6.06,3.96027397260274,3.5,2.82237983531729,1.1,1.74,1.4
"43",2002,10,6.75013698630137,7.22,5.73026068710589,2.03714285714286,2.582,2.3
"44",2003,7.406,4.62550684931507,4.98,3.82233654747079,0.815714285714286,1.36,1.07
"45",2004,6.605,3.8318306010929,3.28,2.76522468045009,1.64571428571429,2,1.8925
"46",2005,10.86,6.84408219178082,6.4,5.30358815018855,1.37714285714286,3.3,2.944
"47",2006,9.076,5.85356164383562,5.48,4.54037708836959,2.11714285714286,2.822,2.46
"48",2007,9.668,6.00197260273973,6.08,4.72559318580962,1.56428571428571,2.092,1.714
"49",2008,10.9,8.37464480874317,7.945,6.10714170983843,2.72857142857143,4.075,3.5375
"50",2009,17.46,13.1035890410959,12.5,11.5596019569472,7.46,8.742,7.796
"51",2010,16.36,11.6893150684932,12,9.98989661799388,4.77571428571428,6.06,5.474
"52",2011,14.52,9.26471232876712,8.8,7.42504804133622,3.71428571428571,4.888,4.102
"53",2012,14.65,8.89292349726776,9.61,7.49684678482408,1.36714285714286,2.54,2.0375
"54",2013,11.56,8.07627397260274,7.62,6.29698091771242,3.18428571428571,4.516,3.87
"55",2014,12.82,8.79687671232877,8.89,7.1096755883386,3.53714285714286,4.624,4.242
"56",2015,13.1,9.39454794520548,9.5,7.6560112198304,2.79428571428571,4.546,4
"57",2016,14.35,9.82486338797814,9.7,7.49233138523857,2.35857142857143,4.765,3.52500000000001
"58",2017,19,13.646904109589,13.5,11.5578926703434,7.81571428571429,9.122,8.436
"59",2018,27.46,20.1775890410959,18.4,17.1391924331376,8.57428571428571,15.1,14.62
"60",2019,24.9,20.64,20.1,18.5330742100165,14.4714285714286,16.1,15.5
"61",2020,28.95,22.6934972677596,23.5,20.0723652095675,11.7142857142857,14.65,13.65
"62",2021,20.82,15.1144657534247,16.2,13.3125006927345,2.52142857142857,7.526,5.608
