"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1960,698,418.086346415566,347,329.77030651341,220,189.857142857143,196
"2",1961,612,367.363314506027,310,257.266080269166,220,172.285714285714,194
"3",1962,562,332.809945580784,280,265.521854583772,174,160.571428571429,166
"4",1963,480,310.368677050103,244,230.365540277635,163,141.857142857143,154
"5",1964,448,289.235149106556,240,215.248746472107,163,134,144
"6",1965,707,398.997127148076,342,302.779932761303,195,191.428571428571,184
"7",1966,810,456.618930380935,380,359.498593818662,220,182,200
"8",1967,814,474.09814224057,422,382.71888012279,227,200,211
"9",1968,700,456.119554174386,410,377.774027202306,251,234.142857142857,230
"10",1969,800,499.946923498129,450,434.804195413048,271,226.857142857143,254
"11",1970,760,476.067157065115,426,397.917037257627,276,255.428571428571,262
"12",1971,748,439.802627134547,361,369.947361048388,270,233.714285714286,252
"13",1972,705,459.743515807088,414,370.752241229112,255,242.714285714286,247
"14",1973,786,529.31977167203,474,455.187086155853,301,270,266
"15",1974,878,534.540334021392,463,452.966567195898,277,243.285714285714,263
"16",1975,886,568.071908425596,533,463.279065014133,320,293,292
"17",1976,886,522.551589673101,449,461.124156869239,294,255.857142857143,272
"18",1977,804,435.105995484447,350,353.698076656981,252,215.142857142857,229
"19",1978,787,453.379283167574,390,371.921149162861,280,260.285714285714,262
"20",1979,913,559.409863013699,463,471.934404560832,315,290,296
"21",1980,781,550.337596366462,480,463.35554090718,388,302.285714285714,360
"22",1981,749,518.187042912757,460,418.630982727814,315,268.428571428571,301
"23",1982,907,537.440690561081,450,432.188074111226,294,281.571428571429,286
"24",1983,839,481.970591105273,431,422.585084609186,273,226.142857142857,248
"25",1984,746,461.610186457898,426,356.417672254407,261,199.714285714286,242
"26",1985,1010,546.633610117239,430,408.822918025658,278,270.571428571429,268
"27",1986,840,579.43159316945,495,417.573827558421,309,268.142857142857,287
"28",1987,676,468.975154813286,430,381.143581660975,264,227,251
"29",1988,750,472.576869061137,440,399.077320873705,226,190.142857142857,210
"30",1989,677,444.154646444189,397,405.855600698268,265,263.285714285714,237
"31",1990,793,544.461917808219,488,399.010474806776,290,256.714285714286,277
"32",1991,900,577.556261962845,553,464.706712328767,286,268.714285714286,276
"33",1992,754,516.861755214247,500,455.136523449228,300,282.571428571429,289
"34",1993,804,575.809499163648,528,483.458330912685,363,304.714285714286,321
"35",1994,720,498.325607055733,462,411.870775631482,293,257.428571428571,276
"36",1995,669,449.847798836555,420,397.849341161122,268,251.285714285714,260
"37",1996,622,400.270707583816,385,314.479203644357,220,181.714285714286,206
"38",1997,716,486.81126187958,431,390.447606670346,264,238,234
"39",1998,760,437.674543066241,337,383.927709685172,233,211.857142857143,221
"40",1999,596,370.413661099643,297,295.552049525817,207,177.714285714286,188
"41",2000,538,369.976782406024,331,276.865564429499,225,197.428571428571,208
"42",2001,663,432.023695402687,406,344.510938702716,237,188.428571428571,217
"43",2002,655,418.023606680428,397,397.056208414873,232,213.714285714286,219
"44",2003,557,359.193597297805,312,261.717415940224,207,178,187
"45",2004,698,415.713425566246,351,348.309048224392,239,220,218
"46",2005,715,416.111628674513,330,354.563848328232,219,180.142857142857,209
"47",2006,649,416.964518671421,371,293.77193250513,218,190.285714285714,202
"48",2007,749,435.445847250891,394,389.937955705321,228,195,209
"49",2008,883,570.828572282316,479,400.30914792175,252,212.857142857143,223
"50",2009,1010,626.418018707292,519,513.329785352035,294,247.285714285714,266
"51",2010,850,517.124413586039,467,416.645450119855,287,265,271
"52",2011,841,534.366185025333,470,409.203938722438,311,261,292
"53",2012,712,453.999925297317,406,392.966953943901,240,201,231
"54",2013,761,489.305684946406,425,368.446874320504,248,232.571428571429,238
"55",2014,919,521.089262525802,441,412.788285267964,288,245.571428571429,266
"56",2015,734,474.146556577219,412,378.965949119374,309,294.714285714286,292
"57",2016,798,529.455148508934,462,396.592988347194,322,264.714285714286,298
"58",2017,1020,584.126097946998,494,405.085601217656,272,246.714285714286,256
"59",2018,1060,655.174246575342,546,509.514617668264,376,248.857142857143,307
"60",2019,1070,690.352051041471,614,523.682117055593,379,336.142857142857,355
"61",2020,954,593.656068845993,533,503.272762730657,323,268.571428571429,296
"62",2021,708,471.537767673127,413,358.876482226693,258,224,236
