"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1960,410,236.618880347225,150,159.354572898032,72,60,66
"2",1961,300,167.31356841213,122,95.4671700534749,60,43.7142857142857,52
"3",1962,268,144.591578157253,87,106.220497524834,50,38.8571428571429,43
"4",1963,208,105.161831488084,63,63.3876071819666,32,28,30
"5",1964,130,74.8529552381521,55,51.3757658552741,36,27.7142857142857,32
"6",1965,284,140.54695200162,81,76.0605906422345,39,31.1428571428571,34
"7",1966,371,161.063966973166,108,107.479090444993,45,41.2857142857143,41
"8",1967,415,190.893495965472,138,135.270673433989,54,40.4285714285714,47
"9",1968,354,212.196931213769,158,128.014003278589,87,63.8571428571428,72
"10",1969,454,243.349287787754,190,185.565252135276,84,66,72
"11",1970,422,211.776671045224,158,135.118392768011,72,56.4285714285714,66
"12",1971,333,167.992719084256,106,122.014775718507,51,45,48
"13",1972,379,211.636212872766,162,130.596734851286,75,64.2857142857143,56
"14",1973,631,299.245062520159,225,241.229066475462,102,66.8571428571429,86
"15",1974,721,305.720120097579,200,199.960290053755,78,67.8571428571429,72
"16",1975,550,297.61060611747,203,169.787804957599,87,73.5714285714286,80
"17",1976,540,254.648897388394,150,178.444780083305,74,55.8571428571429,64
"18",1977,360,166.246930248955,96,101.970523235194,57,52.8571428571429,55
"19",1978,327,175.060934509289,115,95.0542161339422,72,60,60
"20",1979,482,210.992276224432,129,141.227422853522,67,53.4285714285714,60
"21",1980,434,229.728694794717,171,151.450270629712,93,54.5714285714286,78
"22",1981,422,221.572155088998,164,144.161619897187,92,66.1428571428571,83
"23",1982,454,227.943584162132,145,152.847513491075,67,56.1428571428571,63
"24",1983,465,226.917162694689,150,169.597453892264,68,56.1428571428571,62
"25",1984,377,184.468251359589,138,109.639394730818,54,40,48
"26",1985,666,297.032268952947,171,180.210227103666,81,72.5714285714286,63
"27",1986,586,322.428958528805,232,172.284010870168,101,85.7142857142857,89
"28",1987,359,200.58654907112,156,129.841935336953,70,52.8571428571429,58
"29",1988,385,197.249297794777,159,139.506859667261,46,28.8571428571429,40
"30",1989,420,222.231815897447,171,180.859128750651,84,80.7142857142857,53
"31",1990,511,273.532782886095,218,150.482489099461,89,71,80
"32",1991,522,273.292715331207,229,183.214924297044,75,68.1428571428571,70
"33",1992,459,259.658862726349,225,179.313045388008,89,73.2857142857143,76
"34",1993,512,298.041442576716,220,215.402363282387,123,88,101
"35",1994,459,258.194918371177,198,148.918061139773,104,75.4285714285714,88
"36",1995,376,207.342683430287,168,161.290071754729,78,65,70
"37",1996,315,161.82766090958,131,105.920913509744,57,45.8571428571428,50
"38",1997,371,211.687901767967,158,145.305077656114,68,58,58
"39",1998,552,239.477237755676,131,168.661583992739,71,53.2857142857143,60
"40",1999,383,172.466639144305,96,93.8361702376771,47,32,42
"41",2000,284,166.167797167274,130,93.3687244880025,63,42.5714285714286,51
"42",2001,498,269.012571540014,200,168.808813777153,78,57.8571428571429,69
"43",2002,438,214.788653030587,172,185.996013461424,60,49.8571428571429,56
"44",2003,340,162.836385813473,109,93.6204717342746,59.6,46.5285714285714,54.9
"45",2004,471,236.288379250583,150,150.570134525366,77.1,61.5714285714286,69.1
"46",2005,463,214.039269560521,131,153.7981402643,54.9,44.2285714285714,50.2
"47",2006,449,230.588881966598,177,120.214086525742,61.8,50.2571428571429,55.2
"48",2007,446,221.682367423532,168,181.604580687917,62.3,51.5428571428571,56.7
"49",2008,598,301.507704834758,202,169.935523119203,70.4,55.7428571428571,60.7
"50",2009,718,316.574014566784,198,208.740418842411,89.5,73.3714285714286,76.6
"51",2010,524,245.147675736536,162,145.643427880741,88.4,77.6428571428571,80.3
"52",2011,681,288.435677988366,188,155.550704980622,92.3,72.7428571428571,88
"53",2012,454,212.271955118628,125,151.390836279167,45.7,38.9285714285714,42.2
"54",2013,454,232.705675195211,173,148.17972863666,82,47.3857142857143,48.8
"55",2014,529,278.416012760368,199,201.577187455685,112,89.0142857142857,97.6
"56",2015,467,266.058547569901,180,167.028932524704,118,111.471428571429,101
"57",2016,495,259.110213350864,199,156.536021714121,84.8,58.3571428571429,72.9
"58",2017,642,303.502422796793,241,180.787769230384,66.6,54.6428571428571,59.4
"59",2018,626,307.777983861888,196,180.554531873355,83.5,55.3285714285714,74.7
"60",2019,577,307.312687558641,232,187.291699533343,92.4,87.3285714285714,87
"61",2020,560,316.666912687504,238,208.723914192972,109,105.571428571429,106
"62",2021,445,249.377141616066,186,139.664001419928,88.2,67,76.7
