"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1960,634,327.979935263177,200,219.845427908655,88,74.4285714285714,85
"2",1961,400,214.329612877578,138,125.510944237665,81,65.2857142857143,74
"3",1962,318,196.025032839182,120,126.58942250873,70,50.5714285714286,58
"4",1963,218,143.053368361794,88,85.0187311470873,51,40.5714285714286,47
"5",1964,182,109.810568935636,83,73.7597581165981,49,36.4285714285714,42
"6",1965,460,239.713149860858,116,100.61722591286,61,52,56
"7",1966,645,277.508500656784,164,159.461606649074,74,67,67
"8",1967,722,315.194925877275,227,207.680877766581,83,63.5714285714286,77
"9",1968,606,319.484417020259,215,195.758408735333,122,96.2857142857143,110
"10",1969,729,347.240164420141,240,237.078939542193,111,73.5714285714286,81
"11",1970,599,328.273221992869,248,188.821208385904,116,75.8571428571428,100
"12",1971,591,315.506489022331,201,195.487939808809,114,78.1428571428571,91
"13",1972,654,408.146013864818,294,240.585595411547,141,141.428571428571,129
"14",1973,1000,467.407059864834,340,363.976601237423,134,78.2857142857143,112
"15",1974,1160,481.947614937136,274,295.322221051399,113,99.8571428571429,106.200000000001
"16",1975,1010,460.451454306624,279,246.052430921438,122,101.714285714286,111
"17",1976,901,375.027849160342,191,260.613052453836,102,80.2857142857143,90
"18",1977,559,242.044727979177,136,133.065899108502,85,70.8571428571429,76
"19",1978,526,262.440525426909,160,137.506167348633,94,76.7142857142857,84
"20",1979,906,354.442754738225,197,226.139698760368,109,87.4285714285714,92
"21",1980,719,335.971090061555,221,201.469461894325,143,88.5714285714286,125
"22",1981,740,356.220106963103,231,204.81302789609,144,94.1428571428571,127
"23",1982,800,377.020243948208,228,227.689851305468,117,101.285714285714,109
"24",1983,753,382.262503283918,239,267.055149611264,117,105.428571428571,109
"25",1984,617,297.721254407458,209,168.881599461014,91,54,74
"26",1985,1080,435.319464134356,215,268.997645774854,116,106.285714285714,102
"27",1986,1080,502.219771063989,317,248.144143872512,155,124.857142857143,135
"28",1987,554,313.869866766748,233,203.021600111555,109,66,95
"29",1988,649,333.454177374051,256,223.508613586361,82,54.2857142857143,70
"30",1989,653,357.969816302497,244,243.251962195323,138,137.285714285714,96
"31",1990,847,456.428125351848,334,225.163079242315,144,117,131
"32",1991,961,441.026406455245,324,287.501331020999,125,104,117
"33",1992,759,409.585624215622,326,260.548913130826,149,126.428571428571,127
"34",1993,945,482.554700450805,331,318.326744898937,204,185.714285714286,185
"35",1994,827,420.76063801839,302,232.118718952281,161,116.571428571429,140
"36",1995,565,318.631848376806,255,228.595455533812,120,101,112
"37",1996,528,285.146402318771,209,175.935118918725,110,89.2857142857143,102
"38",1997,539,310.277684016292,196,216.101540468664,111,88.5714285714286,98
"39",1998,820,326.748027772565,169,213.228490139997,106,87,94
"40",1999,565,250.601246012385,140,138.564913073261,87,61,74
"41",2000,487,265.562316978426,187,147.262317337059,100,81.1428571428572,88
"42",2001,738,392.817900192774,266,246.968567140622,119,102.714285714286,106
"43",2002,673,319.278528804654,237,258.644000752672,97.5,72.0428571428571,89
"44",2003,513,236.692710076937,133,137.226662518608,88.4,71.8714285714286,80.9
"45",2004,699,362.737445467041,209,202.378398189011,106,85.7857142857143,96.8
"46",2005,723,323.651081257454,192,195.127598904594,80.9,57.5714285714286,76.8
"47",2006,697,330.140699568399,232,170.13007711357,91.4,77.5,82.4
"48",2007,684,324.556312253706,231,245.861306326765,95.7,77.2571428571429,86.8
"49",2008,976,459.986312974362,282,242.828385175844,108,87.9857142857143,92.3
"50",2009,1050,484.699306165005,292,300.788648168231,152,125.428571428571,130
"51",2010,827,362.600735597673,225,206.653110134545,124,105.571428571429,117
"52",2011,1020,455.379560893226,275,246.82995638438,140,112,129
"53",2012,712,334.412109304966,208.5,216.092484731598,93,79.8428571428571,84
"54",2013,782,382.657584554108,246,185.631537290715,113,96.1714285714285,98.8
"55",2014,782,394.405521486208,267,282.703271256752,153,110.714285714286,135
"56",2015,632,327.656370801276,229,204.87670444285,145,136.142857142857,137
"57",2016,823,388.030181378115,287,251.868387901609,123,89.4571428571429,102
"58",2017,965,480.434973784289,353,266.002191480523,116,85.6714285714286,105
"59",2018,953,486.607995496341,349,265.355497716895,125,86.1428571428571,114
"60",2019,1030,543.697549258773,405,303.278359995403,176,132.571428571429,138
"61",2020,937,518.353119584056,370,326.16037275566,170,119.857142857143,156
"62",2021,679,382.060909788264,258,199.401468172055,135,104.642857142857,120
