"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"45",2004,10.5,4.59796868463515,1.41,1.62450519714198,0.14,0.0514285714285714,0.08
"46",2005,11.2,4.95968428632507,0.99,1.58103256059009,0.07,0.03,0.05
"47",2006,18.6,7.95281688872209,3.76,1.62193035663772,0.22,0.0528571428571429,0.1
"48",2007,18.6,7.63852895477576,3.44,3.1976619407062,0.45,0.138571428571429,0.28
"49",2008,23.6,9.6603869598996,2.94,2.42146370725275,0.45,0.154285714285714,0.24
"50",2009,24.2,9.76096424311978,3.25,2.72466866238784,0.69,0.478571428571429,0.5
"51",2010,14.3,6.06750279602177,2.1,1.86380690624129,0.41,0.185714285714286,0.37
"52",2011,24.1,8.36839894914618,2.33,2.03678681888817,0.52,0.37,0.41
"53",2012,13.2,5.08130296420247,1.105,2.17080028751027,0.1,0.0442857142857143,0.07
"54",2013,12.4,6.1373403991989,1.98,1.93427453737082,0.25,0.0857142857142857,0.15
"55",2014,16.1,6.77076854944643,2.5,2.31166191901264,0.72,0.252857142857143,0.49
"56",2015,12,5.44373653593545,2.2,1.79094497150368,0.88,0.71,0.72
"57",2016,19.4,7.65718400764955,3.67,2.48266751301991,0.62,0.12,0.33
"58",2017,26.1,9.38535783133434,4.07,2.64588874509201,0.2,0.111428571428571,0.14
"59",2018,19.2,9.06366905610809,3.73,1.87295049636737,0.25,0.107142857142857,0.18
"60",2019,19.4,8.26041140927003,3.87,2.54579685707227,0.22,0.132857142857143,0.16
"61",2020,17.1,7.47716294149286,2.71,2.34547397413705,0.27,0.0785714285714286,0.15
"62",2021,10.9,5.51906516575632,1.74,1.11670743274952,0.49,0.298571428571429,0.33
