"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1960,3225,1945.8087431694,1685,1582.70212832793,798.571428571428,935.5,876.5
"2",1961,2152,1256.61095890411,1030,790.054948818305,552,690.6,593.4
"3",1962,2406,1349.12876712329,1180,1023.73506849315,505.142857142857,614,514.2
"4",1963,1306,792.865753424658,671,471.502927894024,291.428571428571,353.6,255.2
"5",1964,1030,579.661202185792,544.5,278.470476624165,277.571428571429,275,78.25
"6",1965,2436,1159.6301369863,867,886.240659340659,395,440,401
"7",1966,2578,1519.56712328767,1350,1015.88512720157,654,755.6,521
"8",1967,3122,1571.46301369863,1420,1198.282855608,585.857142857143,570.6,508.6
"9",1968,2985,1956.95081967213,1800,1394.28327631479,759.142857142857,1120,845.5
"10",1969,3340,2132.60547945205,2110,1657.96078277886,798.857142857143,970.2,781.4
"11",1970,2882,1583.06575342466,1380,1218.89921323476,779.571428571429,886,800
"12",1971,2624,1506.1095890411,1390,1240.65331531284,500.857142857143,570,532
"13",1972,2325,1295.93442622951,1085,976.281740527232,607.285714285714,646,573.25
"14",1973,3492,2242.87945205479,2110,1844.01997568641,953,1184,998.4
"15",1974,4236,2236.30684931507,1930,1707.31289954338,731,844,664.4
"16",1975,2876,1805.25753424658,1760,1423.45787127636,745.571428571428,846.4,786
"17",1976,4030,2076.7868852459,1640,1533.764571949,550.428571428571,769.5,645
"18",1977,2406,1175.90684931507,898,911.089401283648,459.428571428571,625,543
"19",1978,3498,1839.37534246575,1450,1396.11471548999,670.857142857143,924.4,770.2
"20",1979,3326,1779.93698630137,1430,1478.36816699282,715.571428571428,982.2,825
"21",1980,3460,2056.96448087432,1860,1578.45493429612,825.571428571428,1160,970
"22",1981,3466,2173.91780821918,1870,1632.85522428149,1168.57142857143,1350,1262
"23",1982,4156,2415.15890410959,2010,1979.48586957977,871,1110,925.8
"24",1983,3452,2096.47123287671,1920,1666.48937703849,675.714285714286,907.6,755.000000000001
"25",1984,2970,1627.06557377049,1485,1225.97278068016,383,663.5,516.5
"26",1985,4568,2125.9397260274,1600,1430.07534999247,670.142857142857,787.8,647.2
"27",1986,3208,2078.69315068493,1990,1618.92725011629,857.714285714286,1100,973.6
"28",1987,2540,1637.6602739726,1690,1280.20989680792,519.571428571428,640.4,554.6
"29",1988,2625,1465.45628415301,1265,1213.0623412107,281.857142857143,448.5,378.25
"30",1989,3196,2179.31780821918,1880,1597.08088714938,824,1084,910.6
"31",1990,3338,1942.95342465753,1670,1570.42020004349,810.285714285714,963.4,839
"32",1991,3476,2158.27397260274,2230,1746.37686517529,741.142857142857,823,776
"33",1992,2510,1860.37431693989,1920,1628.22346529671,790.142857142857,1030,927
"34",1993,4106,2629.09315068493,2550,2188.732751267,956,1260,1072
"35",1994,2676,1782.02191780822,1790,1504.82348009346,784,874,810
"36",1995,2068,1499.93150684932,1550,1205.54969140449,793.714285714286,862.4,808.8
"37",1996,2770,1591.92896174863,1450,1197.16243819932,577.428571428571,759.5,671.25
"38",1997,3374,1977.16438356164,1860,1530.01214453201,639.428571428571,846.4,760
"39",1998,3806,2006.45753424658,1640,1689.09899432913,538.857142857143,789.8,666
"40",1999,2770,1492.92602739726,1140,1142.2464621465,433.428571428571,579.2,500.2
"41",2000,2675,1325.96174863388,1010,1027.79727005556,586,650,613.75
"42",2001,3220,1982.89863013699,1700,1617.28676005703,624.714285714286,949.2,726.6
"43",2002,3452,2146.8301369863,2270,1845.73088584475,547.285714285714,638.8,583.2
"44",2003,1778,1071.73150684932,831,820.472981082844,532.285714285714,649.4,593.6
"45",2004,2765,1811.95081967213,1660,1379.10903413526,747.857142857143,919.5,799.25
"46",2005,3144,1743.97808219178,1390,1429.29724155201,467,683.4,561
"47",2006,2370,1465.66849315068,1350,1179.58484910907,525.285714285714,656.2,585.2
"48",2007,3336,2031.64657534247,2000,1655.74237719662,378.857142857143,772.2,457.6
"49",2008,5005,2689.39344262295,2320,2132.6847026365,455,782.5,589.25
"50",2009,4576,2597.66575342466,2170,2068.50423252547,887.142857142857,1070,942.4
"51",2010,3010,1862.8,1670,1584.94590337364,800.857142857143,1010,869.4
"52",2011,3290,1686.86575342466,1140,1325.64372146119,784.857142857143,836,802.8
"53",2012,3720,1932.82513661202,1780,1576.00468620633,335.857142857143,442.5,376
"54",2013,2896,1600.52876712329,1220,1135.1352158572,539.714285714286,709.8,649.2
"55",2014,3032,1807.38082191781,1680,1431.87699119374,651.428571428571,823.8,757.6
"56",2015,2632,1637.87671232877,1440,1322.56705687007,833.142857142857,991.6,916.6
"57",2016,2470,1521.1912568306,1410,1246.58700234192,567.857142857143,828,693
"58",2017,3692,2144.88219178082,1960,1704.50756850992,535.142857142857,608,562.4
"59",2018,4590,2620.20821917808,1990,1868.17221929393,555.142857142857,1184,1050
"60",2019,3720,2399.46301369863,2280,2011.8216511262,971.857142857143,1204,1060
"61",2020,4180,2635.70491803279,2630,2081.30412399933,674.857142857143,962,861.75
"62",2021,1930,1359.84109589041,1210,1060.49616977903,661.428571428571,875,806.4
