"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1904,7300,3877.04918032787,3200,3533.93810741688,1700,1700,1700
"2",1905,3100,2191.67123287671,2250,2167.00821917808,1050,1050,1050
"3",1906,3960,2292.76712328767,2100,2263.60547945205,1127.14285714286,1240,1240
"4",1907,4760,2695.80821917808,2050,2664.13222439661,1240,1320,1240
"5",1908,2670,1860.64480874317,1800,1816.1213545107,773.571428571429,846,805.5
"6",1909,3250,1997.10136986301,1730,1959.82790422667,799.285714285714,949,915.4
"7",1910,3936,2227.80821917808,2200,2180.32293642431,831.428571428571,900,870
"8",1911,3250,2092.04931506849,2280,2042.09863013699,912.857142857143,1020,970
"9",1912,2690,1859.94535519126,1900,1806.83582704484,1025.71428571429,1160,1110
"10",1913,3174,2091.64383561644,2050,2019.85662100457,1191.42857142857,1270,1270
"11",1914,1760,1522.60869565217,1510,1494.56148097826,1254.28571428571,1270,1270
"12",1930,1296,872.054794520548,990,747.92531097465,295.714285714286,354.2,329.2
"13",1931,1380,545.742465753425,286,489.184303052151,78,97,86
"14",1932,1250,706.846994535519,682.5,420.173423089286,133.714285714286,193,156
"15",1933,1380,712.367123287671,628,346.395294789149,153.714285714286,212.4,156
"16",1934,1430,756.156164383562,750,381.088816094236,192.428571428571,215.4,102.8
"17",1935,1410,898.106849315069,716,316.286329834549,122.428571428571,163.6,125.2
"18",1936,1980,1218.47267759563,1200,745.376854020297,398.142857142857,564.5,407.75
"19",1937,1780,947.8,844,498.547727766906,177,297.6,166
"20",1938,4400,2060.42465753425,1320,1457.56776255708,610.285714285714,711.2,496.8
"21",1939,1458,1027.75890410959,996,616.224448025786,475.285714285714,612.8,510.4
"22",1940,1765,1358.92349726776,1160,659.853021978022,515.857142857143,631.5,488
