"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","05514500",1922-03-01,139,"A",1922-03-01
"2","USGS","05514500",1922-03-02,139,"A",1922-03-02
"3","USGS","05514500",1922-03-03,121,"A",1922-03-03
"4","USGS","05514500",1922-03-04,77,"A",1922-03-04
"5","USGS","05514500",1922-03-05,188,"A",1922-03-05
"6","USGS","05514500",1922-03-06,1040,"A",1922-03-06
"7","USGS","05514500",1922-03-07,773,"A",1922-03-07
"8","USGS","05514500",1922-03-08,412,"A",1922-03-08
"9","USGS","05514500",1922-03-09,275,"A",1922-03-09
"10","USGS","05514500",1922-03-10,236,"A",1922-03-10
"11","USGS","05514500",1922-03-11,1340,"A",1922-03-11
"12","USGS","05514500",1922-03-12,733,"A",1922-03-12
"13","USGS","05514500",1922-03-13,363,"A",1922-03-13
"14","USGS","05514500",1922-03-14,23200,"A",1922-03-14
"15","USGS","05514500",1922-03-15,19300,"A",1922-03-15
"16","USGS","05514500",1922-03-16,2140,"A",1922-03-16
"17","USGS","05514500",1922-03-17,1040,"A",1922-03-17
"18","USGS","05514500",1922-03-18,693,"A",1922-03-18
"19","USGS","05514500",1922-03-19,11700,"A",1922-03-19
"20","USGS","05514500",1922-03-20,2020,"A",1922-03-20
"21","USGS","05514500",1922-03-21,855,"A",1922-03-21
"22","USGS","05514500",1922-03-22,613,"A",1922-03-22
"23","USGS","05514500",1922-03-23,463,"A",1922-03-23
"24","USGS","05514500",1922-03-24,348,"A",1922-03-24
"25","USGS","05514500",1922-03-25,333,"A",1922-03-25
"26","USGS","05514500",1922-03-26,8280,"A",1922-03-26
"27","USGS","05514500",1922-03-27,2580,"A",1922-03-27
"28","USGS","05514500",1922-03-28,1540,"A",1922-03-28
"29","USGS","05514500",1922-03-29,1540,"A",1922-03-29
"30","USGS","05514500",1922-03-30,11000,"A",1922-03-30
"31","USGS","05514500",1922-03-31,18000,"A",1922-03-31
"32","USGS","05514500",1922-04-01,9640,"A",1922-04-01
"33","USGS","05514500",1922-04-02,2200,"A",1922-04-02
"34","USGS","05514500",1922-04-03,3300,"A",1922-04-03
"35","USGS","05514500",1922-04-04,2980,"A",1922-04-04
"36","USGS","05514500",1922-04-05,10500,"A",1922-04-05
"37","USGS","05514500",1922-04-06,2500,"A",1922-04-06
"38","USGS","05514500",1922-04-07,4290,"A",1922-04-07
"39","USGS","05514500",1922-04-08,22900,"A",1922-04-08
"40","USGS","05514500",1922-04-09,17600,"A",1922-04-09
"41","USGS","05514500",1922-04-10,8540,"A",1922-04-10
"42","USGS","05514500",1922-04-11,17300,"A",1922-04-11
"43","USGS","05514500",1922-04-12,2820,"A",1922-04-12
"44","USGS","05514500",1922-04-13,1540,"A",1922-04-13
"45","USGS","05514500",1922-04-14,14700,"A",1922-04-14
"46","USGS","05514500",1922-04-15,13000,"A",1922-04-15
"47","USGS","05514500",1922-04-16,2200,"A",1922-04-16
"48","USGS","05514500",1922-04-17,17400,"A",1922-04-17
"49","USGS","05514500",1922-04-18,4290,"A",1922-04-18
"50","USGS","05514500",1922-04-19,1660,"A",1922-04-19
"51","USGS","05514500",1922-04-20,945,"A",1922-04-20
"52","USGS","05514500",1922-04-21,733,"A",1922-04-21
"53","USGS","05514500",1922-04-22,573,"A",1922-04-22
"54","USGS","05514500",1922-04-23,499,"A",1922-04-23
"55","USGS","05514500",1922-04-24,463,"A",1922-04-24
"56","USGS","05514500",1922-04-25,1090,"A",1922-04-25
"57","USGS","05514500",1922-04-26,900,"A",1922-04-26
"58","USGS","05514500",1922-04-27,613,"A",1922-04-27
"59","USGS","05514500",1922-04-28,499,"A",1922-04-28
"60","USGS","05514500",1922-04-29,429,"A",1922-04-29
"61","USGS","05514500",1922-04-30,363,"A",1922-04-30
"62","USGS","05514500",1922-05-01,318,"A",1922-05-01
"63","USGS","05514500",1922-05-02,275,"A",1922-05-02
"64","USGS","05514500",1922-05-03,289,"A",1922-05-03
"65","USGS","05514500",1922-05-04,249,"A",1922-05-04
"66","USGS","05514500",1922-05-05,211,"A",1922-05-05
"67","USGS","05514500",1922-05-06,4650,"A",1922-05-06
"68","USGS","05514500",1922-05-07,1660,"A",1922-05-07
"69","USGS","05514500",1922-05-08,463,"A",1922-05-08
"70","USGS","05514500",1922-05-09,303,"A",1922-05-09
"71","USGS","05514500",1922-05-10,412,"A",1922-05-10
"72","USGS","05514500",1922-05-11,236,"A",1922-05-11
"73","USGS","05514500",1922-05-12,223,"A",1922-05-12
"74","USGS","05514500",1922-05-13,236,"A",1922-05-13
"75","USGS","05514500",1922-05-14,177,"A",1922-05-14
"76","USGS","05514500",1922-05-15,148,"A",1922-05-15
"77","USGS","05514500",1922-05-16,130,"A",1922-05-16
"78","USGS","05514500",1922-05-17,121,"A",1922-05-17
"79","USGS","05514500",1922-05-18,114,"A",1922-05-18
"80","USGS","05514500",1922-05-19,91,"A",1922-05-19
"81","USGS","05514500",1922-05-20,103,"A",1922-05-20
"82","USGS","05514500",1922-05-21,94,"A",1922-05-21
"83","USGS","05514500",1922-05-22,80,"A",1922-05-22
"84","USGS","05514500",1922-05-23,82,"A",1922-05-23
"85","USGS","05514500",1922-05-24,85,"A",1922-05-24
"86","USGS","05514500",1922-05-25,72,"A",1922-05-25
