"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","07184000",1938-10-01,0,"A",1938-10-01
"2","USGS","07184000",1938-10-02,0,"A",1938-10-02
"3","USGS","07184000",1938-10-03,0,"A",1938-10-03
"4","USGS","07184000",1938-10-04,0,"A",1938-10-04
"5","USGS","07184000",1938-10-05,0,"A",1938-10-05
"6","USGS","07184000",1938-10-06,0,"A",1938-10-06
"7","USGS","07184000",1938-10-07,0,"A",1938-10-07
"8","USGS","07184000",1938-10-08,0,"A",1938-10-08
"9","USGS","07184000",1938-10-09,0,"A",1938-10-09
"10","USGS","07184000",1938-10-10,0,"A",1938-10-10
"11","USGS","07184000",1938-10-11,0,"A",1938-10-11
"12","USGS","07184000",1938-10-12,0,"A",1938-10-12
"13","USGS","07184000",1938-10-13,0,"A",1938-10-13
"14","USGS","07184000",1938-10-14,0,"A",1938-10-14
"15","USGS","07184000",1938-10-15,0,"A",1938-10-15
"16","USGS","07184000",1938-10-16,0,"A",1938-10-16
"17","USGS","07184000",1938-10-17,0,"A",1938-10-17
"18","USGS","07184000",1938-10-18,0,"A",1938-10-18
"19","USGS","07184000",1938-10-19,0,"A",1938-10-19
"20","USGS","07184000",1938-10-20,0,"A",1938-10-20
"21","USGS","07184000",1938-10-21,0,"A",1938-10-21
"22","USGS","07184000",1938-10-22,0,"A",1938-10-22
"23","USGS","07184000",1938-10-23,0,"A",1938-10-23
"24","USGS","07184000",1938-10-24,0,"A",1938-10-24
"25","USGS","07184000",1938-10-25,0,"A",1938-10-25
"26","USGS","07184000",1938-10-26,0,"A",1938-10-26
"27","USGS","07184000",1938-10-27,0,"A",1938-10-27
"28","USGS","07184000",1938-10-28,0,"A",1938-10-28
"29","USGS","07184000",1938-10-29,0,"A",1938-10-29
"30","USGS","07184000",1938-10-30,0,"A",1938-10-30
"31","USGS","07184000",1938-10-31,0,"A",1938-10-31
"32","USGS","07184000",1938-11-01,0,"A",1938-11-01
"33","USGS","07184000",1938-11-02,0,"A",1938-11-02
"34","USGS","07184000",1938-11-03,0,"A",1938-11-03
"35","USGS","07184000",1938-11-04,0,"A",1938-11-04
"36","USGS","07184000",1938-11-05,0,"A",1938-11-05
"37","USGS","07184000",1938-11-06,0,"A",1938-11-06
"38","USGS","07184000",1938-11-07,0,"A",1938-11-07
"39","USGS","07184000",1938-11-08,0,"A",1938-11-08
"40","USGS","07184000",1938-11-09,0,"A",1938-11-09
"41","USGS","07184000",1938-11-10,0,"A",1938-11-10
"42","USGS","07184000",1938-11-11,0,"A",1938-11-11
"43","USGS","07184000",1938-11-12,0,"A",1938-11-12
"44","USGS","07184000",1938-11-13,0,"A",1938-11-13
"45","USGS","07184000",1938-11-14,0,"A",1938-11-14
"46","USGS","07184000",1938-11-15,0,"A",1938-11-15
"47","USGS","07184000",1938-11-16,0,"A",1938-11-16
"48","USGS","07184000",1938-11-17,0,"A",1938-11-17
"49","USGS","07184000",1938-11-18,0,"A",1938-11-18
"50","USGS","07184000",1938-11-19,0,"A",1938-11-19
"51","USGS","07184000",1938-11-20,0,"A",1938-11-20
"52","USGS","07184000",1938-11-21,0,"A",1938-11-21
"53","USGS","07184000",1938-11-22,0,"A",1938-11-22
"54","USGS","07184000",1938-11-23,0,"A",1938-11-23
"55","USGS","07184000",1938-11-24,0,"A",1938-11-24
"56","USGS","07184000",1938-11-25,0,"A",1938-11-25
"57","USGS","07184000",1938-11-26,0,"A",1938-11-26
"58","USGS","07184000",1938-11-27,0,"A",1938-11-27
"59","USGS","07184000",1938-11-28,0,"A",1938-11-28
"60","USGS","07184000",1938-11-29,0,"A",1938-11-29
"61","USGS","07184000",1938-11-30,0,"A",1938-11-30
"62","USGS","07184000",1938-12-01,0,"A",1938-12-01
"63","USGS","07184000",1938-12-02,0,"A",1938-12-02
"64","USGS","07184000",1938-12-03,0,"A",1938-12-03
"65","USGS","07184000",1938-12-04,0,"A",1938-12-04
"66","USGS","07184000",1938-12-05,0,"A",1938-12-05
"67","USGS","07184000",1938-12-06,0,"A",1938-12-06
"68","USGS","07184000",1938-12-07,0,"A",1938-12-07
"69","USGS","07184000",1938-12-08,0,"A",1938-12-08
"70","USGS","07184000",1938-12-09,0,"A",1938-12-09
"71","USGS","07184000",1938-12-10,0,"A",1938-12-10
"72","USGS","07184000",1938-12-11,0,"A",1938-12-11
"73","USGS","07184000",1938-12-12,0,"A",1938-12-12
"74","USGS","07184000",1938-12-13,0,"A",1938-12-13
"75","USGS","07184000",1938-12-14,0,"A",1938-12-14
"76","USGS","07184000",1938-12-15,0,"A",1938-12-15
"77","USGS","07184000",1938-12-16,0,"A",1938-12-16
"78","USGS","07184000",1938-12-17,0,"A",1938-12-17
"79","USGS","07184000",1938-12-18,0,"A",1938-12-18
"80","USGS","07184000",1938-12-19,0,"A",1938-12-19
"81","USGS","07184000",1938-12-20,0,"A",1938-12-20
"82","USGS","07184000",1938-12-21,0,"A",1938-12-21
"83","USGS","07184000",1938-12-22,0,"A",1938-12-22
"84","USGS","07184000",1938-12-23,0,"A",1938-12-23
"85","USGS","07184000",1938-12-24,0,"A",1938-12-24
"86","USGS","07184000",1938-12-25,0,"A",1938-12-25
"87","USGS","07184000",1938-12-26,0,"A",1938-12-26
"88","USGS","07184000",1938-12-27,0,"A",1938-12-27
"89","USGS","07184000",1938-12-28,0,"A",1938-12-28
"90","USGS","07184000",1938-12-29,0,"A",1938-12-29
"91","USGS","07184000",1938-12-30,0,"A",1938-12-30
"92","USGS","07184000",1938-12-31,0,"A",1938-12-31
"93","USGS","07184000",1939-01-01,0,"A",1939-01-01
"94","USGS","07184000",1939-01-02,0,"A",1939-01-02
"95","USGS","07184000",1939-01-03,0,"A",1939-01-03
"96","USGS","07184000",1939-01-04,0,"A",1939-01-04
"97","USGS","07184000",1939-01-05,0,"A",1939-01-05
"98","USGS","07184000",1939-01-06,0,"A",1939-01-06
"99","USGS","07184000",1939-01-07,0,"A",1939-01-07
"100","USGS","07184000",1939-01-08,0,"A",1939-01-08
"101","USGS","07184000",1939-01-09,0,"A",1939-01-09
"102","USGS","07184000",1939-01-10,0,"A",1939-01-10
"103","USGS","07184000",1939-01-11,0,"A",1939-01-11
"104","USGS","07184000",1939-01-12,0,"A",1939-01-12
"105","USGS","07184000",1939-01-13,0,"A",1939-01-13
"106","USGS","07184000",1939-01-14,0,"A",1939-01-14
"107","USGS","07184000",1939-01-15,0,"A",1939-01-15
"108","USGS","07184000",1939-01-16,0,"A",1939-01-16
"109","USGS","07184000",1939-01-17,0,"A",1939-01-17
"110","USGS","07184000",1939-01-18,0,"A",1939-01-18
"111","USGS","07184000",1939-01-19,0,"A",1939-01-19
"112","USGS","07184000",1939-01-20,0,"A",1939-01-20
"113","USGS","07184000",1939-01-21,0,"A",1939-01-21
"114","USGS","07184000",1939-01-22,0,"A",1939-01-22
