"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","07014500",1921-09-09,375,"A",1921-09-09
"2","USGS","07014500",1921-09-10,550,"A",1921-09-10
"3","USGS","07014500",1921-09-11,470,"A",1921-09-11
"4","USGS","07014500",1921-09-12,435,"A",1921-09-12
"5","USGS","07014500",1921-09-13,910,"A",1921-09-13
"6","USGS","07014500",1921-09-14,1470,"A",1921-09-14
"7","USGS","07014500",1921-09-15,1860,"A",1921-09-15
"8","USGS","07014500",1921-09-16,1660,"A",1921-09-16
"9","USGS","07014500",1921-09-17,960,"A",1921-09-17
"10","USGS","07014500",1921-09-18,715,"A",1921-09-18
"11","USGS","07014500",1921-09-19,590,"A",1921-09-19
"12","USGS","07014500",1921-09-20,550,"A",1921-09-20
"13","USGS","07014500",1921-09-21,550,"A",1921-09-21
"14","USGS","07014500",1921-09-22,490,"A",1921-09-22
"15","USGS","07014500",1921-09-23,490,"A",1921-09-23
"16","USGS","07014500",1921-09-24,670,"A",1921-09-24
"17","USGS","07014500",1921-09-25,1410,"A",1921-09-25
"18","USGS","07014500",1921-09-26,1230,"A",1921-09-26
"19","USGS","07014500",1921-09-27,910,"A",1921-09-27
"20","USGS","07014500",1921-09-28,715,"A",1921-09-28
"21","USGS","07014500",1921-09-29,630,"A",1921-09-29
"22","USGS","07014500",1921-09-30,630,"A",1921-09-30
"23","USGS","07014500",1921-10-01,810,"A",1921-10-01
"24","USGS","07014500",1921-10-02,1120,"A",1921-10-02
"25","USGS","07014500",1921-10-03,3000,"A",1921-10-03
"26","USGS","07014500",1921-10-04,3000,"A",1921-10-04
"27","USGS","07014500",1921-10-05,1660,"A",1921-10-05
"28","USGS","07014500",1921-10-06,1180,"A",1921-10-06
"29","USGS","07014500",1921-10-07,910,"A",1921-10-07
"30","USGS","07014500",1921-10-08,810,"A",1921-10-08
"31","USGS","07014500",1921-10-09,760,"A",1921-10-09
"32","USGS","07014500",1921-10-10,670,"A",1921-10-10
"33","USGS","07014500",1921-10-11,590,"A",1921-10-11
"34","USGS","07014500",1921-10-12,550,"A",1921-10-12
"35","USGS","07014500",1921-10-13,510,"A",1921-10-13
"36","USGS","07014500",1921-10-14,470,"A",1921-10-14
"37","USGS","07014500",1921-10-15,470,"A",1921-10-15
"38","USGS","07014500",1921-10-16,435,"A",1921-10-16
"39","USGS","07014500",1921-10-17,435,"A",1921-10-17
"40","USGS","07014500",1921-10-18,405,"A",1921-10-18
"41","USGS","07014500",1921-10-19,405,"A",1921-10-19
"42","USGS","07014500",1921-10-20,375,"A",1921-10-20
"43","USGS","07014500",1921-10-21,375,"A",1921-10-21
"44","USGS","07014500",1921-10-22,375,"A",1921-10-22
"45","USGS","07014500",1921-10-23,375,"A",1921-10-23
"46","USGS","07014500",1921-10-24,375,"A",1921-10-24
"47","USGS","07014500",1921-10-25,375,"A",1921-10-25
"48","USGS","07014500",1921-10-26,375,"A",1921-10-26
"49","USGS","07014500",1921-10-27,375,"A",1921-10-27
"50","USGS","07014500",1921-10-28,375,"A",1921-10-28
"51","USGS","07014500",1921-10-29,375,"A",1921-10-29
"52","USGS","07014500",1921-10-30,375,"A",1921-10-30
"53","USGS","07014500",1921-10-31,405,"A",1921-10-31
"54","USGS","07014500",1921-11-01,405,"A",1921-11-01
"55","USGS","07014500",1921-11-02,375,"A",1921-11-02
"56","USGS","07014500",1921-11-03,375,"A",1921-11-03
"57","USGS","07014500",1921-11-04,345,"A",1921-11-04
"58","USGS","07014500",1921-11-05,345,"A",1921-11-05
"59","USGS","07014500",1921-11-06,345,"A",1921-11-06
"60","USGS","07014500",1921-11-07,345,"A",1921-11-07
"61","USGS","07014500",1921-11-08,345,"A",1921-11-08
"62","USGS","07014500",1921-11-09,375,"A",1921-11-09
"63","USGS","07014500",1921-11-10,345,"A",1921-11-10
"64","USGS","07014500",1921-11-11,375,"A",1921-11-11
"65","USGS","07014500",1921-11-12,345,"A",1921-11-12
"66","USGS","07014500",1921-11-13,345,"A",1921-11-13
"67","USGS","07014500",1921-11-14,345,"A",1921-11-14
"68","USGS","07014500",1921-11-15,345,"A",1921-11-15
"69","USGS","07014500",1921-11-16,345,"A",1921-11-16
"70","USGS","07014500",1921-11-17,345,"A",1921-11-17
"71","USGS","07014500",1921-11-18,550,"A",1921-11-18
"72","USGS","07014500",1921-11-19,9030,"A",1921-11-19
"73","USGS","07014500",1921-11-20,10500,"A",1921-11-20
"74","USGS","07014500",1921-11-21,4120,"A",1921-11-21
"75","USGS","07014500",1921-11-22,2140,"A",1921-11-22
"76","USGS","07014500",1921-11-23,1600,"A",1921-11-23
"77","USGS","07014500",1921-11-24,1410,"A",1921-11-24
"78","USGS","07014500",1921-11-25,2760,"A",1921-11-25
"79","USGS","07014500",1921-11-26,2760,"A",1921-11-26
"80","USGS","07014500",1921-11-27,1800,"A",1921-11-27
"81","USGS","07014500",1921-11-28,1470,"A",1921-11-28
"82","USGS","07014500",1921-11-29,1230,"A",1921-11-29
"83","USGS","07014500",1921-11-30,1120,"A",1921-11-30
"84","USGS","07014500",1921-12-01,960,"A",1921-12-01
"85","USGS","07014500",1921-12-02,1350,"A",1921-12-02
"86","USGS","07014500",1921-12-03,3720,"A",1921-12-03
"87","USGS","07014500",1921-12-04,2760,"A",1921-12-04
"88","USGS","07014500",1921-12-05,2140,"A",1921-12-05
"89","USGS","07014500",1921-12-06,1860,"A",1921-12-06
"90","USGS","07014500",1921-12-07,1600,"A",1921-12-07
"91","USGS","07014500",1921-12-08,1350,"A",1921-12-08
"92","USGS","07014500",1921-12-09,1120,"A",1921-12-09
"93","USGS","07014500",1921-12-10,1010,"A",1921-12-10
"94","USGS","07014500",1921-12-11,960,"A",1921-12-11
"95","USGS","07014500",1921-12-12,910,"A",1921-12-12
"96","USGS","07014500",1921-12-13,810,"A",1921-12-13
"97","USGS","07014500",1921-12-14,760,"A",1921-12-14
"98","USGS","07014500",1921-12-15,715,"A",1921-12-15
"99","USGS","07014500",1921-12-16,670,"A",1921-12-16
"100","USGS","07014500",1921-12-17,630,"A",1921-12-17
"101","USGS","07014500",1921-12-18,670,"A",1921-12-18
"102","USGS","07014500",1921-12-19,670,"A",1921-12-19
"103","USGS","07014500",1921-12-20,630,"A",1921-12-20
"104","USGS","07014500",1921-12-21,590,"A",1921-12-21
"105","USGS","07014500",1921-12-22,590,"A",1921-12-22
"106","USGS","07014500",1921-12-23,760,"A",1921-12-23
"107","USGS","07014500",1921-12-24,2920,"A",1921-12-24
"108","USGS","07014500",1921-12-25,4800,"A",1921-12-25
"109","USGS","07014500",1921-12-26,2440,"A",1921-12-26
"110","USGS","07014500",1921-12-27,1730,"A",1921-12-27
"111","USGS","07014500",1921-12-28,1410,"A",1921-12-28
"112","USGS","07014500",1921-12-29,1180,"A",1921-12-29
"113","USGS","07014500",1921-12-30,1060,"A",1921-12-30
"114","USGS","07014500",1921-12-31,960,"A",1921-12-31
"115","USGS","07014500",1922-01-01,860,"A",1922-01-01
"116","USGS","07014500",1922-01-02,810,"A",1922-01-02
"117","USGS","07014500",1922-01-03,760,"A",1922-01-03
"118","USGS","07014500",1922-01-04,760,"A",1922-01-04
"119","USGS","07014500",1922-01-05,810,"A",1922-01-05
"120","USGS","07014500",1922-01-06,860,"A",1922-01-06
"121","USGS","07014500",1922-01-07,760,"A",1922-01-07
"122","USGS","07014500",1922-01-08,715,"A",1922-01-08
