"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","05495000",1922-03-01,145,"A",1922-03-01
"2","USGS","05495000",1922-03-02,100,"A",1922-03-02
"3","USGS","05495000",1922-03-03,93,"A",1922-03-03
"4","USGS","05495000",1922-03-04,114,"A",1922-03-04
"5","USGS","05495000",1922-03-05,190,"A",1922-03-05
"6","USGS","05495000",1922-03-06,281,"A",1922-03-06
"7","USGS","05495000",1922-03-07,270,"A",1922-03-07
"8","USGS","05495000",1922-03-08,162,"A",1922-03-08
"9","USGS","05495000",1922-03-09,137,"A",1922-03-09
"10","USGS","05495000",1922-03-10,230,"A",1922-03-10
"11","USGS","05495000",1922-03-11,1180,"A",1922-03-11
"12","USGS","05495000",1922-03-12,870,"A",1922-03-12
"13","USGS","05495000",1922-03-13,690,"A",1922-03-13
"14","USGS","05495000",1922-03-14,2160,"A",1922-03-14
"15","USGS","05495000",1922-03-15,1570,"A",1922-03-15
"16","USGS","05495000",1922-03-16,690,"A",1922-03-16
"17","USGS","05495000",1922-03-17,358,"A",1922-03-17
"18","USGS","05495000",1922-03-18,250,"A",1922-03-18
"19","USGS","05495000",1922-03-19,605,"A",1922-03-19
"20","USGS","05495000",1922-03-20,580,"A",1922-03-20
"21","USGS","05495000",1922-03-21,430,"A",1922-03-21
"22","USGS","05495000",1922-03-22,240,"A",1922-03-22
"23","USGS","05495000",1922-03-23,162,"A",1922-03-23
"24","USGS","05495000",1922-03-24,145,"A",1922-03-24
"25","USGS","05495000",1922-03-25,162,"A",1922-03-25
"26","USGS","05495000",1922-03-26,382,"A",1922-03-26
"27","USGS","05495000",1922-03-27,336,"A",1922-03-27
"28","USGS","05495000",1922-03-28,358,"A",1922-03-28
"29","USGS","05495000",1922-03-29,358,"A",1922-03-29
"30","USGS","05495000",1922-03-30,605,"A",1922-03-30
"31","USGS","05495000",1922-03-31,455,"A",1922-03-31
"32","USGS","05495000",1922-04-01,336,"A",1922-04-01
"33","USGS","05495000",1922-04-02,220,"A",1922-04-02
"34","USGS","05495000",1922-04-03,171,"A",1922-04-03
"35","USGS","05495000",1922-04-04,690,"A",1922-04-04
"36","USGS","05495000",1922-04-05,750,"A",1922-04-05
"37","USGS","05495000",1922-04-06,870,"A",1922-04-06
"38","USGS","05495000",1922-04-07,960,"A",1922-04-07
"39","USGS","05495000",1922-04-08,1340,"A",1922-04-08
"40","USGS","05495000",1922-04-09,1940,"A",1922-04-09
"41","USGS","05495000",1922-04-10,1730,"A",1922-04-10
"42","USGS","05495000",1922-04-11,1020,"A",1922-04-11
"43","USGS","05495000",1922-04-12,406,"A",1922-04-12
"44","USGS","05495000",1922-04-13,314,"A",1922-04-13
"45","USGS","05495000",1922-04-14,200,"A",1922-04-14
"46","USGS","05495000",1922-04-15,162,"A",1922-04-15
