"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1960,499,253.844262295082,NA,20.5714285714286,24,94,653.5
"2",1961,346.8,137.213698630137,83.8894529711492,23,29.4,72,450
"3",1962,392.4,192.451506849315,49.3410077614917,9.02857142857143,11,30,1062
"4",1963,187.2,67.4586301369863,32.8407793414169,7.18571428571429,10,20,252.4
"5",1964,234.5,82.8844262295082,53.1789221068599,10.2428571428571,16,37,281
"6",1965,696,273.702191780822,94.7139869721341,5.68571428571429,9.8,62,1378
"7",1966,579.8,220.429589041096,123.570477014427,8.47142857142857,12,100,781.2
"8",1967,1060,349.947945205479,136.251939964242,16.2857142857143,31,140,1744
"9",1968,435.5,187.491803278689,92.435509397892,38.5714285714286,45,126.5,571.5
"10",1969,534,239.164383561644,153.033930905178,19.8571428571429,29.4,166,647.2
"11",1970,453.6,205.115068493151,143.43467329709,20.5714285714286,31.4,148,585.2
"12",1971,697.4,225.604109589041,137.601573079888,9.7,15,61,1134
"13",1972,652,330.215846994536,214.557554416483,48.4285714285714,81,191,1060
"14",1973,1086,390.317808219178,260.471114182953,22,31,229,1300
"15",1974,1010,372.046575342466,171.368054369502,25.1428571428571,34.4,176,1486
"16",1975,1070,452.652054794521,227.491858050025,28.4285714285714,107,261,1442
"17",1976,1360,419.142076502732,274.770447925193,21.8571428571429,30.5,155,1905
"18",1977,303.6,106.804931506849,64.635976363148,5.62857142857143,13,55,391.8
"19",1978,345.6,198.327671232877,47.3929301612,8.87142857142857,15,52,1200
"20",1979,630.4,195.958082191781,107.742104000254,5.55714285714286,15.4,50,948
"21",1980,492,250.672131147541,141.870172083214,31,48,190,783.5
"22",1981,939.200000000001,393.391780821918,99.2564935064935,15.8571428571429,36.8,187,1688
"23",1982,839.200000000001,298.356164383562,153.051847464048,26.5714285714286,40,99,1138
"24",1983,806.400000000001,358.191780821918,190.520659350089,15.1428571428571,26,213,1458
"25",1984,655,226.901639344262,89.7357277714712,15.4285714285714,21.5,97,854.25
"26",1985,1502,563.27397260274,337.647472697322,27.2857142857143,35,236,2378
"27",1986,1358,542.093150684932,203.249171595866,27.2857142857143,49.8,253,2630
"28",1987,422,177.06301369863,116.341788971305,15,30.4,100,527
"29",1988,538.5,231.828415300546,128.294291031131,9.17142857142857,18,144,763.5
"30",1989,684.4,302.487671232877,151.991188877732,45.2857142857143,57,155,959
"31",1990,933.2,423.904109589041,228.677511423928,28.1428571428571,44,336,1302
"32",1991,875.6,356.934246575342,237.367201872728,21.5714285714286,33.4,242,1140
"33",1992,770,375.614754098361,273.484292317739,38.4285714285714,63,304.5,932
"34",1993,1052,440.506849315069,208.43895361567,49.2857142857143,75.4,247,1594
"35",1994,998,508.238356164384,259.097979197118,52.4285714285714,88,358,1592
"36",1995,469.4,232.512328767123,140.281448919814,21.4285714285714,32,183,687.2
"37",1996,458.5,299.631147540984,147.078468597839,33.7142857142857,49.5,186,807.75
"38",1997,578.4,321.424657534247,157.426734688894,30.2857142857143,37,120,954.400000000001
"39",1998,754.2,261.964109589041,156.274964807754,8.3,16,56,1082
"40",1999,288.2,148.582739726027,69.9071176787313,9.38571428571428,13,44,544.8
"41",2000,455.5,215.286885245902,83.3713550623846,17.4285714285714,33,96.5,679.5
"42",2001,842,360.132054794521,210.206305113857,19.8571428571429,31.52,246,1174
"43",2002,579.8,226.756438356164,150.097876999713,13.5142857142857,20.98,65.1,845.000000000001
"44",2003,270.2,96.0403835616438,60.4917113302498,4.07428571428571,11.3,35.9,310.8
"45",2004,862,343.307103825137,174.811926694832,29.1285714285714,47.55,130.5,1667.5
"46",2005,605.2,216.185479452055,121.945544013691,15.9,20.3,85.9,865
"47",2006,866.4,418.527945205479,230.382509144629,37.4285714285714,68.96,349,1076
"48",2007,817,269.730136986301,185.45306306707,18.5857142857143,29.24,116,1008
"49",2008,892,329.190710382514,190.050536679866,22.1428571428571,34.75,163,1090
"50",2009,951,433.709863013699,224.5731378191,39.8,69.4,280,1514
"51",2010,498,201.342191780822,102.656922894503,17.3857142857143,20.74,93,820.2
"52",2011,1086,394.892328767123,271.645561480632,23.1714285714286,44.54,235,1266
"53",2012,488,222.37650273224,146.158727221027,17.6714285714286,24.15,167.5,634
"54",2013,877,452.252328767123,153.057163919127,22.6428571428571,32.52,179,1660
"55",2014,1046,373.775890410959,175.323847963803,39.3857142857143,66,185,1358
"56",2015,432.6,201.131232876712,117.509918483891,34.8142857142857,46.38,142,563
"57",2016,796,352.983606557377,227.798533539927,23.1714285714286,34.75,261.5,1030
"58",2017,898.6,392.204383561644,220.85514459947,17.2571428571429,22.04,252,1096
"59",2018,513.2,320.778082191781,163.930595917483,23.2857142857143,51.12,247,781.2
"60",2019,1022,509.592054794521,274.07656173963,32.6428571428571,59.48,426,1298
"61",2020,883.5,384.432240437158,228.182897345729,52.9428571428571,94.85,222,1247.5
"62",2021,514.2,281.120547945205,NA,57.6142857142857,88.78,174,741
