"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1960,488,308.560109289618,NA,155,176,265,604.75
"2",1961,385.2,243.928767123288,187.701888454012,143,156,210,474
"3",1962,393.2,222.879452054795,155.737288477035,124.571428571429,138.4,172,556
"4",1963,245.6,148.756164383562,98.445778494046,71.5714285714286,80.8,127,340
"5",1964,185,123.505464480874,87.1957577677464,59.4285714285714,77.5,112,207
"6",1965,380,214.252054794521,128.763926940639,105.714285714286,115.2,173,495
"7",1966,329.6,221.978082191781,143.30861248609,123.142857142857,135,201,416
"8",1967,480,282.747945205479,220.92959197179,128.428571428571,150.8,261,524.8
"9",1968,562,373.136612021858,269.765422309337,232.428571428571,247.5,315,674
"10",1969,636.2,406.769863013699,315.675076103501,181.714285714286,221.4,380,726.8
"11",1970,544.6,360.383561643836,277.276753725726,175.428571428571,210,339,601.6
"12",1971,476,279.78904109589,170.597585245804,136.857142857143,149,245,578
"13",1972,433,295.590163934426,177.451403696486,162.571428571429,173,288,492.5
"14",1973,648,444.224657534247,331.047030458126,265.142857142857,294.4,402,697
"15",1974,811.8,462.194520547945,341.168819308545,225.714285714286,240,375,951
"16",1975,565.2,403.13698630137,265.717938682322,225,256,376,659.8
"17",1976,750.5,410.803278688525,300.017084782249,185.285714285714,205,308,910.75
"18",1977,522.4,284.320547945205,181.598744292237,128.714285714286,138,233,670
"19",1978,503.6,306.18904109589,203.170091324201,140.428571428571,180,252,729.4
"20",1979,553,295.287671232877,184.755748078473,143.571428571429,169.4,239,608
"21",1980,591,351.994535519126,227.630731738796,168.285714285714,208.5,300.5,656.75
"22",1981,595.4,409.717808219178,289.776581865623,238.142857142857,258,388,672.2
"23",1982,1256,526.866666666667,NA,294.285714285714,286.5,347,1487.5
"24",2001,643.7,495.673913043478,NA,366.714285714286,380.5,455,778.8
"25",2002,540.8,345.213698630137,302.159574991219,184.857142857143,199.4,287,626.4
"26",2003,385,247.786301369863,204.230196078431,141.285714285714,156,218,422.8
"27",2004,484,300.710382513661,240.710634308368,176.285714285714,198,266.5,543.5
"28",2005,533.8,323.284931506849,263.246207913091,153.857142857143,182,269,574
"29",2006,523,353.38904109589,284.848841624609,193.857142857143,235.4,325,562
"30",2007,568,364.227397260274,302.420681553486,177.142857142857,216,334,630
"31",2008,822,511.418032786885,388.078216910594,221.714285714286,272.5,415.5,1020
"32",2009,906.6,547.775342465753,436.49899543379,298.285714285714,343,459,988
"33",2010,684.6,425.013698630137,338.198657438452,254.142857142857,277,343,890.6
"34",2011,731.8,458.06301369863,356.215393191284,244.714285714286,269,400,846.6
"35",2012,632,354.434426229508,305.738446552489,162.857142857143,182,274.5,717.75
"36",2013,509.6,348.693150684931,271.977895194608,206.285714285714,228,299,718.2
"37",2014,550.8,375.405479452055,316.403605703757,230.285714285714,250.4,316,781.4
"38",2015,524,332.547945205479,279.874850159242,218.428571428571,225,278,641.2
"39",2016,448,309.756830601093,257.591225621323,151.857142857143,191,291.5,486
"40",2017,684.2,422.375342465753,333.04101978691,187.428571428571,198.4,376,777.8
"41",2018,693.2,425.709589041096,357.861717192525,227.285714285714,255,338,936.4
"42",2019,527.6,383.254794520548,313.155936073059,198.428571428571,219,376,606.4
"43",2020,740,467.215846994536,373.868065313557,244.714285714286,257,418,944.75
"44",2021,514.6,340.350684931507,NA,164.428571428571,209.8,294,658
