"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1960,2570,1347.55191256831,NA,407.428571428571,518,1150,2910
"2",1961,1596,927.8,653.506112070399,369.571428571429,428.8,776,2056
"3",1962,1976,883.178082191781,659.075582415615,354.428571428571,370,609,2784
"4",1963,985.2,492.183561643836,293.125934268233,173,177.2,350,1444
"5",1964,733.5,375.158469945355,210.227491543065,125.714285714286,148.5,315.5,857.75
"6",1965,2036,957.427397260274,676.071713959556,211.285714285714,432.2,678,2358
"7",1966,2032,1089.3397260274,676.426065625996,361.142857142857,411.4,979,2420
"8",1967,2590,1291.2,1018.25441776245,328.285714285714,422.8,1190,2828
"9",1968,2120,1389.63114754098,956.549830861306,561.571428571429,663,1300,2892.5
"10",1969,2800,1576.03835616438,1175.25770622072,416.142857142857,551.2,1520,3048
"11",1970,2250,1248.69315068493,976.361635777599,468,573.6,1140,2608
"12",1971,1942,898.665753424658,643.597390737117,286.571428571429,323.2,592,2586
"13",1972,1955,1166.27322404372,939.007818738851,459.571428571429,552.5,1030,2237.5
"14",1973,2750,1550.85753424658,1201.87147769318,526.571428571429,643.8,1320,3104
"15",1974,3272,1551.76164383562,1184.11213307241,423.428571428571,478.8,1160,3704
"16",1975,2230,1408.98082191781,1215.57170605284,531.285714285714,737.4,1470,2410
"17",1976,3065,1368.41256830601,1078.11403314753,328.857142857143,439,957.5,3707.5
"18",1977,1700,814.654794520548,646.236033920418,234,378.8,600,2008
"19",1978,2646,1232.21095890411,937.137654726912,342.142857142857,590.4,868,3776
"20",1979,2522,1250.53150684932,983.412924255721,436,565.6,957,2776
"21",1980,2675,1519.08743169399,1101.89130887328,833.714285714286,920,1300,2977.5
"22",1981,2558,1608.55342465753,1111.09514535424,700.428571428571,915.4,1440,2992
"23",1982,3034,1662.0904109589,1339.21994014044,503.571428571428,631.4,1300,4452
"24",1983,2744,1540.27472527473,NA,384,595,1340,3428
"25",1992,2979,1991.84782608696,NA,958.571428571429,1041,1950,3182.5
"26",1993,2988,1743.80547945205,1385.98655013846,586,790.4,1540,3528
"27",1994,1792,1131.31780821918,920.386544156891,486.142857142857,519.6,1140,2080
"28",1995,1616,1094.42739726027,825.714176631389,483.857142857143,545.4,1130,1858
"29",1996,2050,1101.16666666667,804.699264131882,335,444.5,993.5,2430
"30",1997,2486,1472.02465753425,1165.15391001692,393.428571428571,719.8,1270,3162
"31",1998,2918,1357.52328767123,1028.218598246,343,465.8,888,3160
"32",1999,2036,987.301369863014,781.770613176778,256.142857142857,332.4,644,2420
"33",2000,2060,1100.89617486339,800.666927994351,474.142857142857,508.5,871.5,2340
"34",2001,2706,1677.77808219178,1351.69601435095,395.142857142857,600.4,1570,3300
"35",2002,2390,1173.68219178082,935.268918014214,328.714285714286,377,703,2816
"36",2003,1582,843.835616438356,616.168722592655,260.714285714286,384.4,659,1876
"37",2004,2065,1219.68579234973,891.084565741741,427,485,1050,2335
"38",2005,2366,1094.47397260274,839.499353676139,257.285714285714,341,698,3038
"39",2006,2010,1278.08767123288,1010.26867854568,408,609.6,1180,2274
"40",2007,2410,1425.90684931507,1114.48769127686,230.142857142857,491.8,1370,2734
"41",2008,3750,1960.31693989071,1502.69663460936,285.142857142857,540,1465,4270
"42",2009,3560,1842.69315068493,1415.09115519184,536.714285714286,686.6,1450,3804
"43",2010,2248,1217.66301369863,1013.45620594018,448.571428571429,514.4,1100,2596
"44",2011,2950,1515.50136986301,1130.71031423515,525.714285714286,579.6,1280,3268
"45",2012,2625,1117.94262295082,927.088074220861,217.857142857143,268,634,2930
"46",2013,2188,1230.85479452055,780.107261405555,397.857142857143,532.4,992,2728
"47",2014,2286,1367.58356164384,1094.02625570776,452.571428571428,597.2,1250,3038
"48",2015,2032,1148.91232876712,907.446472459992,497.571428571429,611.4,942,2460
"49",2016,1950,1281.60655737705,1026.98421177203,429.285714285714,657.5,1270,2167.5
"50",2017,2902,1610.76712328767,1207.21665106781,323.571428571429,374,1450,3230
"51",2018,3412,1850.7095890411,1277.27241120071,557,716.4,1330,4922
"52",2019,2666,1732.55616438356,1439.03033876239,566.857142857143,709.8,1770,2880
"53",2020,3015,1621.23224043716,1244.86031245621,385.571428571429,569.5,1260,3802.5
"54",2021,2110,1226.00547945205,NA,362.428571428571,530.4,992,2560
