"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1960,5895,3441.72131147541,NA,1344.28571428571,1745,3070,6625
"2",1961,4646,2862.87123287671,2160.1774773172,1285.71428571429,1560,2520,5932
"3",1962,4530,2521.82739726027,1887.05941607859,1043.85714285714,1154,2020,7036
"4",1963,2816,1630.26575342466,1060.8698630137,689.714285714286,800,1240,4326
"5",1964,2375,1298.08469945355,1027.40269160712,561.142857142857,713.5,1110,2622.5
"6",1965,5286,2799.09589041096,2177.47969825137,1132.85714285714,1370,2190,5768
"7",1966,5546,3077.44657534247,2196.34537431411,1264.28571428571,1348,2820,6380
"8",1967,6168,3256.12328767123,2722.22331453129,1050.14285714286,1170,2950,6736
"9",1968,5755,3763.06010928962,2864.46073839372,1850,2065,3400,7420
"10",1969,6582,4022.38356164384,3401.16365118899,1474.28571428571,1770,3760,7452
"11",1970,5632,3166.05479452055,2665.32502953667,1391.42857142857,1804,2800,6266
"12",1971,5036,2388.03561643836,1940.78841843088,845.714285714286,1050,1690,6236
"13",1972,4970,3114.34426229508,2605.00185151825,1187.14285714286,1465,2985,5540
"14",1973,6516,3731.31506849315,3038.65004714103,1414.28571428571,1720,3350,6924
"15",1974,7532,3790.51232876712,3036.32420091324,1278.57142857143,1400,3010,8168
"16",1975,5258,3425.39726027397,2864.04073540014,1421.42857142857,1640,3590,5776
"17",1976,6915,3481.19672131148,2716.57442003958,1298.57142857143,1375,2640,8765
"18",1977,4818,2498.19178082192,2056.48943669324,950,1154,1950,5146
"19",1978,6348,3292.79452054795,2702.06481043131,1127.14285714286,1514,2460,9936
"20",1979,6076,3210.49315068493,2586.90411100273,1258.57142857143,1574,2470,6694
"21",1980,6440,3659.28961748634,2918.4753892929,2091.42857142857,2275,3175,7255
"22",1981,6872,4336.35616438356,3252.47139892071,2300,2648,3760,7802
"23",1982,7834,4521.2602739726,3738.85215165352,1544.28571428571,1734,3770,11200
"24",1983,6034,3416.1095890411,2803.650456621,1132.85714285714,1520,3160,7476
"25",1984,5975,3341.03825136612,2598.11969249567,1080,1500,3085,6515
"26",1985,9406,4420.7397260274,3259.66830536283,1385.71428571429,1550,3250,11900
"27",1986,5776,3982.90410958904,3123.31789519461,1852.85714285714,2292,3700,7160
"28",1987,3916,2593.29589041096,2095.64446869721,1187.14285714286,1434,2370,4998
"29",1988,5320,3038.02459016393,2536.92858073046,658.428571428571,982,3165,5845
"30",1989,5092,3403.53424657534,2572.5303652968,1678.57142857143,1908,2940,6052
"31",1990,6886,4383.15068493151,3394.82198647303,1867.14285714286,2388,4030,7804
"32",1991,6142,3913.15068493151,3186.2322636588,1472.85714285714,1654,4030,7048
"33",1992,4985,3643.08743169399,3166.4465164545,1571.42857142857,2170,3645,6162.5
"34",1993,8000,4832.32876712329,3995.4353160298,1927.14285714286,2594,4060,9522
"35",1994,4620,2857.97260273973,2461.14877666476,1395.71428571429,1470,2540,5458
"36",1995,4178,2819.47945205479,2292.60740269104,1440,1650,2770,4624
"37",1996,6035,3267.9781420765,2678.99166480257,1554.28571428571,1690,2700,7147.5
"38",1997,6326,3914.21917808219,3238.51282233748,1530,2320,3580,7284
"39",1998,7226,3710.65753424658,3054.37291407223,1320,1720,2610,7798
"40",1999,5506,2811.56712328767,2210.38815792275,953.142857142857,1210,1880,6814
"41",2000,3945,2492.13114754098,2012.94249557364,1405.71428571429,1560,2200,4407.5
"42",2001,5880,3643.20547945205,3056.13195845251,1152.85714285714,1734,3420,7146
"43",2002,5670,3023.5698630137,2527.87850323193,962.142857142857,1130,2220,6420
"44",2003,3788,2294.46575342466,1826.7954816497,1137.14285714286,1200,2100,4246
"45",2004,4700,3095.71038251366,2509.51571715277,1422.85714285714,1615,2820,5647.5
"46",2005,5664,2816.62465753425,2363.00495570871,935.571428571428,1124,1930,7274
"47",2006,4706,3125.45205479452,2635.37395170475,1657.14285714286,1904,2920,5124
"48",2007,6506,3948.78356164384,3340.88313695437,1005.14285714286,1612,3850,6940
"49",2008,8945,4900.84153005464,3975.52656814952,1059.71428571429,1585,3595,10450
"50",2009,7812,4587.53424657534,3713.41672764401,1362.85714285714,2116,3780,8840
"51",2010,5610,3157.75342465753,2805.71151238411,1450,1520,2930,6496
"52",2011,7292,3779.17808219178,2981.76627824231,1207.14285714286,1518,3180,8238
"53",2012,5860,2796.16120218579,2439.8466996676,735.857142857143,947.5,1775,6410
"54",2013,4868,2993.20547945205,2346.43809180485,1184.28571428571,1510,2540,6238
"55",2014,5522,3288.35616438356,2716.7033570625,1357.14285714286,1690,2850,7218
"56",2015,4706,2825.80821917808,2345.90064219959,1574.28571428571,1748,2450,5366
"57",2016,4165,2922.00819672131,2579.06219773008,910.714285714286,1525,2885,4580
"58",2017,6096,3747.42465753425,3071.47358121331,1238.57142857143,1388,3780,6504
"59",2018,8118,4988.65753424658,3781.9166235951,2335.71428571429,2594,4010,10200
"60",2019,6702,4566.38356164384,3896.06072846484,1908.57142857143,2340,4480,7280
"61",2020,6455,3637.51639344262,2992.5216962419,1038.71428571429,1395,2835,8107.5
"62",2021,4956,3118.32876712329,NA,1450,1780,2660,6202
