"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1964,33379.5652173913,2902,5085,77310,178000,2474.28571428571,NA
"2",1965,15923.1780821918,3126,10800,42920,54320,2647.14285714286,13225.600741578
"3",1966,15607.6164383562,2570,12500,35160,39740,2551.42857142857,10005.2677950166
"4",1967,14766.4931506849,2700,9280,31640,38280,2537.14285714286,9979.47501553856
"5",1968,13914.8087431694,2505,8615,27300,36975,2172.85714285714,8983.97270847657
"6",1969,20711.2328767123,2900,13100,45680,56540,2645.71428571429,14466.8784246575
"7",1970,22957.4794520548,2540,10700,49580,86880,2231.42857142857,11510.9994317467
"8",1971,23198.9315068493,3800,20000,41800,57200,3401.42857142857,15847.7947647303
"9",1972,20996.9945355191,2900,8860,45850,73175,2457.14285714286,11353.6682202936
"10",1973,20986.4383561644,2030,13400,58600,78440,1828.57142857143,12280.3090875933
"11",1974,25777.2328767123,2968,11600,54080,78400,2795.71428571429,14653.236579762
"12",1975,21006.3561643836,3490,13700,43460,50880,3282.85714285714,14506.9158265898
"13",1976,9392.32240437159,3000,5050,18550,22325,2395.71428571429,7485.01243019276
"14",1977,9665.28767123288,1454,4470,16600,37880,1365.71428571429,5277.13702781237
"15",1978,16536.6301369863,3848,8310,37760,50720,3291.42857142857,12987.2267384062
"16",1979,13814.5753424658,3300,10200,28300,33580,3060,10103.9478790459
"17",1980,18906.3387978142,3680,9815,39550,54800,3465.71428571429,13407.2037041096
"18",1981,18935.4520547945,2850,8900,43860,74960,2345.71428571429,10095.5106123775
"19",1982,28203.6438356164,4244,22000,61040.0000000001,86940,3895.71428571429,18584.039308971
"20",1983,39828.7123287671,5638,32700,91480,105800,4918.57142857143,27192.5623672995
"21",1984,22555.6557377049,3870,19750,44300,54100,3417.14285714286,17682.4131478722
"22",1985,11043.0684931507,3280,9420,22280,31600,3084.28571428571,8335.11369243166
"23",1986,20784.5479452055,2992,8780,45640,78820,2532.85714285714,11454.8199130942
"24",1987,12087.4794520548,2640,6690,29960,37480,2191.42857142857,7746.17778757088
"25",1988,10572.650273224,2215,8915,19000,27150,2015.71428571429,7345.99951801386
"26",1989,15087.2602739726,2854,6510,43460,57040,2417.14285714286,12675.5347140683
"27",1990,10215.3424657534,2924,5600,21160,26680,2624.28571428571,6853.58274206767
"28",1991,7431.86301369863,1970,5170,15460,18480,1785.71428571429,5524.57849788948
"29",1992,8086.28415300546,1915,5610,16750,21850,1762.85714285714,4875.49278558418
"30",1993,19836.7945205479,3698,12200,44620,57620,3331.42857142857,13482.0485529769
"31",1994,7697.74725274725,1863,7395,15670,19400,1588.57142857143,NA
"32",1995,30062.3310810811,3305,19600,78400,106000,3132.85714285714,NA
"33",1997,10882.2826086957,4468,10500,19260,21450,4297.14285714286,NA
"34",1998,31894.7123287671,4204,26400,71700,89420,4047.14285714286,22093.640543515
"35",1999,21690.4657534247,4164,14000,45720,65160,3884.28571428571,15961.1131857619
"36",2000,15633.4699453552,3530,7700,37850,47125,3342.85714285714,11775.6472957825
"37",2001,8894.76712328767,2600,6540,17140,26980,2511.42857142857,6475.69294779074
"38",2002,14069.8904109589,2132,6880,27260,45820,1960,8526.00518175335
"39",2003,16913.4794520548,3074,13100,36640,42600,2930,12580.797869254
"40",2004,14724.6448087432,2735,8755,30200,38425,2500,10711.9401075549
"41",2005,17665.4520547945,3250,11600,35060,45540,3014.28571428571,11681.7413242009
"42",2006,25448.1643835616,3174,19100,57180,78240,2948.57142857143,18629.5644454525
"43",2007,11694.0273972603,2754,8660,25800,32000,2554.28571428571,9598.10984859889
"44",2008,13309.1530054645,2765,9965,26800,30050,2520,10496.558667107
"45",2009,10100.8767123288,2458,7390,20960,28040,2247.14285714286,6697.39462759463
"46",2010,17301.6164383562,3260,16500,32060,39240,2908.57142857143,12821.2558602357
"47",2011,17073.7808219178,3472,12900,39100,48140,3207.14285714286,13399.5083321516
"48",2012,16733.6065573771,3105,10200,39100,52275,2544.28571428571,10468.2453441983
"49",2013,8004.95890410959,2764,4750,15300,18980,2370,6768.94184901856
"50",2014,9560.19178082192,2280,4840,21280,33080,2042.85714285714,5656.2487497282
"51",2015,9887.80821917808,2150,5670,19140,34860,2037.14285714286,5945.02644633154
"52",2016,20583.2786885246,2785,14700,50250,71850,2325.71428571429,12855.8486655349
"53",2017,26363.698630137,3200,14000,68160,85420,2987.14285714286,17394.3905947933
"54",2018,9997.04109589041,2424,6260,22600,26300,2257.14285714286,7239.35968688845
"55",2019,16458.3287671233,2900,8050,39740,49020,2491.42857142857,11138.113183512
"56",2020,7337.18579234973,2280,6190,13450,16675,2125.71428571429,5578.4012511725
"57",2021,9002.96703296703,2132,7970,17860,26680,2007.14285714286,NA
