"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1964,1676.28260869565,738,1205,2650,5915,708.142857142857,NA
"2",1965,2352.06849315068,190,1770,6250,6356,102.571428571429,2097.29699836637
"3",1966,898.654794520548,171.2,743,1930,2060,99.8571428571428,657.697915554765
"4",1967,1255.55342465753,389,1130,2150,2450,107.714285714286,755.952485462429
"5",1968,693.016393442623,117,600,1380,1650,72.8571428571428,238.51678855609
"6",1969,1270.81917808219,182.6,986,2262,4072,122.285714285714,743.6821433645
"7",1970,1415.10684931507,209.2,1020,3086,3746,94.2857142857143,667.461649791543
"8",1971,1952.96438356164,408,1990,3728.00000000001,4804,253.142857142857,1149.18893939394
"9",1972,1854.05464480874,408.5,1525,3220,6945,382.142857142857,1433.55814376831
"10",1973,1147.1095890411,224.2,907,2272,2760,111.857142857143,912.638327813687
"11",1974,1976.19452054795,516,1930,4256,5258,248.714285714286,1465.85764926014
"12",1975,1761.27397260274,540,1920,2936,3578,205.714285714286,1372.22212040981
"13",1976,1175.19672131148,459,925,2210,2310,256.142857142857,980.610359123365
"14",1977,781.353424657534,251,677,1040,2176,90.0714285714286,425.529745048238
"15",1978,1400.90410958904,689.6,1070,2582,3124,414.714285714286,983.018282083214
"16",1979,816.397260273973,399.2,740,1310,1776,286.714285714286,545.010242977638
"17",1980,979.101092896175,442,753.5,1950,2592.5,347.285714285714,584.20459142765
"18",1981,786.442465753425,255.4,692,1206,1674,101.285714285714,475.72013952822
"19",1982,2091.23287671233,474.6,1850,4390,6254,403.428571428571,1600.06759590493
"20",1983,2345.8301369863,628.6,2070,4276,4800,425.428571428571,1854.16849315068
"21",1984,2164.17759562842,704,2060,3925,4087.5,379.428571428571,1729.46200261811
"22",1985,1273.43835616438,531,1010,2326,2658,329.285714285714,914.39409659848
"23",1986,1699.81369863014,619,1120,3116,6378,475.285714285714,1378.04786922355
"24",1987,941.446575342466,517.4,889,1562,1824,283,651.789474087556
"25",1988,777.786885245902,424,799,1120,1150,241.714285714286,503.877830357376
"26",1989,1223.52602739726,413,768,2966,4590,120.285714285714,795.941281233386
"27",1990,815.484931506849,364.6,802,1120,1472,225,552.454766768519
"28",1991,494.26301369863,175.2,453,788.4,968.2,136.285714285714,345.076681720106
"29",1992,554.83606557377,102.5,597.5,890.5,978.25,96.4285714285714,361.635036222456
"30",1993,1397.13698630137,484.8,875,3370,5114,113.857142857143,810.44657831641
"31",1994,614.950684931507,200.8,616,1030,1088,190,488.567219211534
"32",1995,1091.86301369863,276.6,865,2424,3462,140.142857142857,665.592553254244
"33",1996,1891.42076502732,887.5,1410,3920,4790,570.428571428571,1423.3313056896
"34",1997,1705.0904109589,666.2,1030,4166,5922,405.714285714286,1333.79724535258
"35",1998,1832.3095890411,662.8,1390,3644,4280,207,1186.81973838706
"36",1999,1725.64657534247,744,1260,2938,4372,532.285714285714,1265.8316155686
"37",2000,1376.92076502732,576.5,1195,2570,2955,163.142857142857,1073.32189132655
"38",2001,911.482191780822,545.4,785,1464,1578,485.428571428571,703.111301955275
"39",2002,892.706849315068,491.2,832,1396,1578,369.142857142857,642.577979288196
"40",2003,972.73698630137,382.4,858,1732,1870,283.571428571429,669.804283826003
"41",2004,757.243169398907,481,707,1150,1277.5,307.857142857143,581.105989499625
"42",2005,939.797260273973,279.4,914,1402,2608,224.714285714286,664.786864535769
"43",2006,1929.05753424658,749.4,1410,3466,4258,606.714285714286,1330.3430990669
"44",2007,1164.78082191781,580.6,1020,1886,2060,523,872.436668297456
"45",2008,1079.89617486339,555.5,1020,1785,2025,388.428571428571,816.423932668648
"46",2009,996.446575342466,643.4,996,1320,1480,277.428571428571,776.831538750443
"47",2010,848.304109589041,617,840,1112,1210,419.714285714286,645.386240733552
"48",2011,1390.6602739726,512.6,1160,2622,2810,370.285714285714,1037.48023810053
"49",2012,1034.31420765027,321.5,895,2235,2640,236,722.254091508642
"50",2013,771.58904109589,440,752,1116,1228,190.571428571429,562.472955955764
"51",2014,789.53698630137,417.4,791,1160,1238,329.857142857143,616.082721179952
"52",2015,857.01095890411,409.8,875,1250,1308,267.142857142857,632.943173265091
"53",2016,1061.44808743169,404.5,935,1795,2140,333.714285714286,682.577311493464
"54",2017,1690.11506849315,522.2,1150,3692,5102,328.428571428571,1072.91141576332
"55",2018,966.550684931507,394,854,1676,2176,326.142857142857,605.433219720288
"56",2019,1128.75342465753,348.2,948,2030,2718,267,713.952156045265
"57",2020,916.136612021858,465,815.5,1365,1510,340.428571428571,702.300418509845
"58",2021,860.846153846154,530.6,871,1178,1234,437.142857142857,NA
