"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1962,8192,3752.73424657534,NA,441.142857142857,543.2,2260,11360
"2",1963,14320,5816.07671232877,3956.66500069891,481.142857142857,582,2730,22160
"3",1964,9460,5233.6912568306,2500.33450403261,382,428.5,2290,15150
"4",1965,11000,3777.35616438356,3059.65988411803,466,536.4,2170,16000
"5",1966,10560,4529.10684931507,2351.01518524377,367.285714285714,450,3170,13780
"6",1967,8292,3891.9095890411,2415.37542095369,336,498,2280,9916
"7",1968,7820,3438.21857923497,1848.86417580837,335.142857142857,463,1830,10975
"8",1969,14300,6493.37260273973,3865.27023877179,307.714285714286,351,3560,21700
"9",1970,15940,6656.80821917808,3024.80970634254,418.285714285714,450,2800,32080
"10",1971,10200,5892.54246575342,3530.67015969929,532.571428571429,683.6,3700,16180
"11",1972,10950,5030.61475409836,2402.36306405706,477.285714285714,540.5,2240,17725
"12",1973,14760,6060.63835616438,3329.91179213697,451.428571428571,484.2,3790,21380
"13",1974,13400,6578.33150684931,3374.61108338769,506,554.8,2540,24040
"14",1975,13960,5977.31506849315,3804.29798360197,582,671.8,3110,18280
"15",1976,4270,2177.80054644809,1595.60606565885,491,514,1045,5332.5
"16",1977,2364,1716.64109589041,967.783408053134,245.857142857143,297.4,877,6940.00000000001
"17",1978,10580,4926.79452054795,3034.81531637312,655.571428571429,685,1790,18000
"18",1979,6918,3187.11506849315,2011.74980686461,574,626.8,2220,8306
"19",1980,11100,4783.79508196721,3154.09178087529,547,657,2110,16425
"20",1981,10600,4860.36438356164,2504.72231751008,492.285714285714,632,2100,17180
"21",1982,15320,6781.60547945206,4263.32389564246,668.285714285714,851,4680,24880
"22",1983,30380,12658.1095890411,7891.15918043117,920,1050,9370,38000
"23",1984,11100,5122.74863387978,3576.16078899077,676.428571428571,819.5,3870,13175
"24",1985,4870,2287.42465753425,1642.21809824878,548.857142857143,662.4,1740,6290
"25",1986,13940,5441.42465753425,2633.60857856755,590.571428571429,765.8,1730,24020
"26",1987,8436,3470.55068493151,2066.51306607575,436.571428571428,451.4,1780,11560
"27",1988,5145,2641.8825136612,1842.65994902183,472.285714285714,500,2130,7762.5
"28",1989,9684,3941.38082191781,3034.99318649834,560.857142857143,693,1570,13700
"29",1990,5246,2305.07123287671,1471.56373491507,532.571428571428,576,1310,7094
"30",1991,3860,1749.56712328767,1297.59750281682,511.571428571429,525.4,1030,4614
"31",1992,5205,2202.78415300546,1417.62733692725,626.857142857143,669.5,1300,6192.5
"32",1993,12160,5419.51780821918,3775.16597177876,654.571428571429,710,2980,14200
"33",1994,3926,2071.67397260274,1594.14653777877,479.571428571429,592.4,1520,5574
"34",1995,23660,8601.12602739726,4884.71739723534,702,732.8,3250,35880
"35",1996,18700,7246.58743169399,4424.90134049314,763.428571428571,799,4430,24450
"36",1997,12560,5177.00547945205,3188.56168354179,687.857142857143,782.4,2750,20680
"37",1998,25320,9718.48493150685,6545.35916938465,718.142857142857,950.8,6750,31260
"38",1999,12360,5230.27671232877,3667.21681598132,623.285714285714,787,2640,17880
"39",2000,10700,4257.92896174863,2799.01907852675,695.571428571429,775.5,1695,14950
"40",2001,5738.00000000001,2593.08767123288,1871.42898004583,519.142857142857,619.2,1630,8450
"41",2002,8292.00000000001,4492.67671232877,2537.06630275356,504.285714285714,622.4,2080,15840
"42",2003,12260,5411.42465753425,3869.71453900384,572.571428571429,718.6,3980,15280
"43",2004,10300,4775.23224043716,3237.61295510554,710.857142857143,748,3100,13250
"44",2005,12460,5890.42465753425,3851.54023934889,697.428571428571,846.2,4040,17160
"45",2006,17920,8526.91780821918,6547.65317668901,674.142857142857,829.4,6310,22600
"46",2007,7280,3080.10410958904,2180.59977566012,663.571428571428,731,1930,9162
"47",2008,8525,3914.38797814208,2850.14013099252,651.428571428571,717.5,3025,9795
"48",2009,6510.00000000001,3053.26301369863,1893.86766787999,624.714285714286,658.4,1940,9342
"49",2010,11360,5967.63287671233,4484.86935543644,625.428571428571,862.2,6020,13400
"50",2011,13060,5521.61095890411,4392.32039619597,790.142857142857,841,3850,16560
"51",2012,10950,4750.41803278689,3086.11894588664,648.571428571428,721.5,2950,14225
"52",2013,4616,2283.54794520548,1886.872643835,598.714285714286,668,1170,5542
"53",2014,5700,2489.1698630137,1207.86745653103,539.142857142857,621.4,1250,8486
"54",2015,5010,2696.84657534247,1446.55279762235,465.428571428571,581.4,1710,8902
"55",2016,16050,6570.88797814208,3741.69724061988,623.285714285714,737.5,4545,22725
"56",2017,18800,7987.61095890411,5305.63846379648,737.428571428571,811,3630,25720
"57",2018,5794,2635.30410958904,1818.8997097195,504.142857142857,615.4,1560,6980
"58",2019,14220,5831.66301369863,3638.71085069644,642.285714285714,761.8,2910,18260
"59",2020,3390,1891.98907103825,1435.83152157022,470,592,1495,4540
"60",2021,4490,2442.70410958904,NA,583.285714285714,609,2050,7098
