"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1962,3009.67391304348,1712,2935,3786,1608.57142857143,NA
"2",1963,2076.82465753425,782,1780,3262,715.714285714286,1704.68926453616
"3",1964,2079.42896174863,860,1575,3200,778,1618.03671010228
"4",1965,3627.16712328767,764,2530,8728,722,3383.17734438317
"5",1966,1638.05753424658,729,1500,2984,668.857142857143,1448.43602325718
"6",1967,2147.68219178082,722,1790,3572,697,1852.67279369033
"7",1968,1337.12841530055,729,1320,1880,695,1282.89823361038
"8",1969,2313.68219178082,750,1840,3972,696,1898.13648891822
"9",1970,2530.1397260274,721,1500,5204,701.142857142857,1938.64747102213
"10",1971,3277.71780821918,836,3240,6064,714.142857142857,2486.03364147268
"11",1972,3071.89890710382,780,2790,5805,693.428571428571,2645.20995115995
"12",1973,1773.6,715,1340,3518,667.857142857143,1645.45878995434
"13",1974,3094.09863013699,762,2910,6852,725.714285714286,2552.81752223757
"14",1975,2787.09315068493,918.8,3050,4706,712.857142857143,2539.74667569873
"15",1976,1835.44535519126,719,1745,3075,712.714285714286,1752.96354054621
"16",1977,1277.70410958904,716,1010,1750,708.142857142857,1163.44027841261
"17",1978,2134.9095890411,736.8,1820,3846,728,1867.04046084945
"18",1979,1425.98082191781,733,1320,2362,697.714285714286,1284.6075651343
"19",1980,1798.23224043716,745.5,1350,3330,733.714285714286,1497.10469234334
"20",1981,1395.95342465753,740.4,1040,1810,728,1212.39411561882
"21",1982,3268.48219178082,752,2870,7112,709.571428571429,2686.61024334834
"22",1983,3752.81917808219,1000,2990,7236,721.428571428571,3170.87537076398
"23",1984,3383.71857923497,976,3210,5700,724.714285714286,2993.29298633133
"24",1985,1952.56164383562,733,1790,3260,715.714285714286,1763.60993538225
"25",1986,2521.96438356164,730,1770,4760,717.285714285714,2185.96843647262
"26",1987,1453.14794520548,741.8,1330,2550,727.142857142857,1355.32878886715
"27",1988,1243.72677595628,729.5,1040,1995,549.571428571429,1174.85371543302
"28",1989,2076.09315068493,741,1400,4886,733.142857142857,1786.30576223401
"29",1990,1352.17534246575,737,1340,1820,719.857142857143,1236.59662100457
"30",1991,827.402739726027,546.8,767,938.6,534.571428571429,775.506122872561
"31",1992,648.773224043716,410,528.5,913,390,629.1446900701
"32",1993,2046.39726027397,824.6,1370,5406.00000000001,673.428571428571,1580.93959931143
"33",1994,784.331506849315,569.4,775,963,563.142857142857,726.970995325071
"34",1995,1801.96712328767,768.8,1340,4096,731.428571428571,1283.90642704235
"35",1996,2983.19672131148,1060,1695,6315,1030,2432.83087870021
"36",1997,2625.52328767123,1030,1640,6794,807.142857142857,2330.49522261873
"37",1998,3057.80821917808,1120,2390,6362,1114.28571428571,2560.29833019966
"38",1999,2880.60273972603,1310,1830,6076,1122.85714285714,2626.85703079265
"39",2000,1968.1693989071,1060,1340,3600,1042.85714285714,1810.48004401158
"40",2001,1340.73150684932,1020,1300,1670,979.142857142857,1304.57375459196
"41",2002,1296.04109589041,758.4,988,2050,659.714285714286,1191.0533293952
"42",2003,1487.26301369863,875,1360,2638,729.857142857143,1331.09236768603
"43",2004,1236.68032786885,710,1010,2065,615.142857142857,1158.95549759894
"44",2005,1451.83561643836,824.4,1180,1876,800.428571428571,1291.78211107274
"45",2006,2984.4301369863,1000,2780,5766,978.571428571428,2451.71148983238
"46",2007,1578.19178082192,1030,1330,2802,1020,1491.52792413066
"47",2008,1627.43169398907,1020,1335,2855,1018.57142857143,1547.24252477941
"48",2009,1329.99178082192,995,1320,1610,990.428571428571,1310.24230860464
"49",2010,1197.41095890411,905,1300,1366,814.428571428571,1169.41878669276
"50",2011,1962.46575342466,1050,1340,3826,1012.85714285714,1793.83156550251
"51",2012,1447.90710382514,1000,1030,2970,990.285714285714,1318.64260741268
"52",2013,1120.59726027397,907,1010,1474,901.428571428571,1060.50811915634
"53",2014,1111.27397260274,902,1010,1440,852.714285714286,1032.42753872325
"54",2015,1071.50410958904,877,1000,1336,859.142857142857,1014.18659818112
"55",2016,1495.13114754098,937,1055,2495,916.428571428571,1230.26785383313
"56",2017,2316.35068493151,965,1210,5228,918,1679.4249377335
"57",2018,1225.12328767123,888.8,994,1798,853.857142857143,1042.81193737769
"58",2019,1484.11780821918,908.8,1100,2418,900.714285714286,1248.50395076434
"59",2020,1133.34153005464,896,988,1435,878.857142857143,1025.92496096799
"60",2021,1040.47985347985,920.2,995,1368,910.857142857143,NA
