"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1962,1126,409.257534246575,NA,30.7142857142857,40,209,1380
"2",1963,1142,436.232876712329,224.083700412556,36.7142857142857,48,205,1628
"3",1964,434,317.852459016393,153.170414133529,28.7142857142857,30,199,532.25
"4",1965,801.2,359.128767123288,249.328991191566,31.1428571428571,34.4,274,1014.6
"5",1966,1222,432.958904109589,278.449099069518,27.7142857142857,31,232,1660
"6",1967,1190,442.364383561644,250.639529588126,35.8571428571429,45,206,1704
"7",1968,766.5,310.314207650273,188.562165511013,30,37,134,935.25
"8",1969,1692,584.252054794521,348.95393423063,40.4285714285714,44.4,218,2266
"9",1970,902.4,454.441095890411,242.791651201478,29.5714285714286,33,292,1200
"10",1971,1136,445.424657534247,310.729433764626,41.4285714285714,49,203,1534
"11",1972,1165,415.281420765027,204.71231819604,34,39.5,147,1632.5
"12",1973,1220,542.983561643836,289.157190660917,35.2857142857143,40.4,319,1786
"13",1974,1586,659.679452054795,330.700623356856,42,43,305,2034
"14",1975,1366,454.591780821918,301.599506447782,41,53,170,2034
"15",1976,506,185.147540983607,132.382397985703,32,33,81,743.25
"16",1977,249.6,124.567123287671,74.8412634941763,16.4285714285714,21,54,411.4
"17",1978,1362,562.446575342466,349.337029789085,47.1428571428571,57,373,1626
"18",1979,794.8,297.753424657534,194.228148214039,29.7142857142857,37.4,152,1120
"19",1980,851,371.325136612022,212.561250784467,32.4285714285714,42,212.5,1337.5
"20",1981,915.8,416.745205479452,201.774070894859,25,27.4,245,1208
"21",1982,1180,458.128767123288,315.189049679669,47,56.4,302,1338
"22",1983,1894,867.361643835616,595.546136442123,76.4285714285714,93,664,2628
"23",1984,852.5,370.871584699454,289.684815392554,42.4285714285714,55,305.5,970
"24",1985,422.800000000001,203.909589041096,137.247954343181,32.8571428571429,38,107,694
"25",1986,1132,454.487671232877,288.694386772687,32.7142857142857,48.8,116,1426
"26",1987,919.8,315.958904109589,172.24077085172,28.4285714285714,34,96,1170
"27",1988,560.5,250.639344262295,191.272519708984,34.7142857142857,36,155.5,605.5
"28",1989,853.2,332.331506849315,194.083793719338,29.4285714285714,37,116,1308
"29",1990,507.2,213.265753424658,113.340315290637,28,33,102,600.8
"30",1991,459.6,151.939726027397,117.467540769733,20,22.4,56,519.6
"31",1992,820,279.090163934426,186.058180560332,27.7142857142857,30,88,1045
"32",1993,1612,563.761643835616,357.020899165009,36.4285714285714,41,155,2076
"33",1994,455.6,176.723287671233,130.919407967249,21,24,76,590.8
"34",1995,1820,704.975342465753,383.39243203372,40,42,421,2156
"35",1996,1140,528.713114754098,276.472591586704,35,39,271,1605
"36",1997,649.400000000001,329.715068493151,181.195681350166,36,42,177,818
"37",1998,2076,800.654794520548,489.344723295477,56.4285714285714,65,450,2746
"38",1999,1152,430.087671232877,278.5463114359,23.8571428571429,37,207,1644
"39",2000,1305,502.66393442623,333.276285659504,36.7142857142857,43,148.5,1705
"40",2001,759,251.12602739726,163.462847731189,25.7142857142857,29,99,996
"41",2002,839.2,387.093698630137,204.73852556491,27.4857142857143,32.6,204,1338
"42",2003,1278,542.60904109589,329.00257855819,24.0285714285714,37.64,311,1726
"43",2004,1245,423.908196721311,290.035865230042,32.6571428571429,40.3,219,1400
"44",2005,1426,528.098904109589,351.058945945738,41.0714285714286,46.74,299,1738
"45",2006,2014,696.897808219178,482.064644760912,39.2285714285714,44.68,345,2998
"46",2007,568.6,220.633150684932,145.749755694652,25.4571428571429,29.58,86.3,740.4
"47",2008,749.5,288.430601092896,211.528564227149,26.3,31.25,104.5,1077.5
"48",2009,748.8,266.946849315069,181.41173693061,21.6857142857143,28.48,93.3,960.4
"49",2010,1280,576.971232876712,379.047725784669,38.6714285714286,47.78,410,1808
"50",2011,1466,545.565205479452,399.353576166444,51.3285714285714,56.4,296,1760
"51",2012,1150,396.359016393443,223.652912047879,29.5428571428571,33.45,161,1550
"52",2013,518.2,207.528219178082,156.144674276311,23.6571428571429,31.84,80,689.400000000001
"53",2014,516.6,204.883287671233,111.703444554333,14.1714285714286,17.54,59,879.8
"54",2015,318,199.289863013699,107.583277612798,21.9142857142857,24,77.3,532
"55",2016,1310,580.763114754098,311.339867163723,27.8857142857143,31.55,347.5,1890
"56",2017,1630,635.054246575343,392.148238301163,38.0714285714286,40.8,222,2014
"57",2018,432.6,179.156164383562,121.63946279505,21.4857142857143,23.78,88.6,577.2
"58",2019,1630,559.912054794521,358.052489829805,36.4,41.58,195,2024
"59",2020,402,152.515300546448,119.170786778492,20.5,21.9,62.2,565.5
"60",2021,451.8,155.091780821918,NA,14.0285714285714,17.78,102,559
