"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1958,1103.17391304348,949,1150,1200,1210,943.857142857143,NA
"2",1959,969.005479452055,587.2,874,1420,1470,543.428571428571,934.131407914764
"3",1960,948.051912568306,554,808,1555,1695,515.714285714286,904.183252652232
"4",1961,897.690410958904,535,883,1382,1470,500.571428571428,850.037220131467
"5",1962,1080.40273972603,512,966,1898,2258,485,934.948954960904
"6",1963,1154.59726027397,567,872,2226,2488,531,1028.28558960781
"7",1964,1154.39890710383,546,758,1665,2382.5,513.714285714286,886.599627060857
"8",1965,1433.62739726027,614,970,2790,3114,574.285714285714,1269.74470759163
"9",1966,930.53698630137,510.8,778,1602,2192,457,860.656237928962
"10",1967,1171.70410958904,511.4,814,2170,2828,472.428571428571,1016.35000909289
"11",1968,768.049180327869,444.5,663,1130,1437.5,409.285714285714,692.185216627635
"12",1969,1182.69315068493,484,800,2784,3608,474.142857142857,1073.91568611754
"13",1970,1194.55890410959,508,936,2176,2384,462.857142857143,999.237572431739
"14",1971,1504.14520547945,609,995,3380,3660,580.571428571429,1302.85229555832
"15",1972,1384.69945355191,601.5,912,2475,3765,564.142857142857,1268.02228853098
"16",1973,956.419178082192,455,984,1588,1804,422.142857142857,865.305552642277
"17",1974,1504.82465753425,583,1010,2948,3764,555,1281.45224933809
"18",1975,1292.12876712329,631,1030,2390,2860,606.428571428571,1212.01909565321
"19",1976,969.677595628415,610,821,1560,1680,541.142857142857,919.571174863388
"20",1977,756.865753424658,511,684,1010,1198,483.571428571428,722.860736477239
"21",1978,1146.39178082192,523,737,2106,2496,472.857142857143,1009.94522230233
"22",1979,753.764383561644,439,667,1176,1350,412.571428571429,697.551026834919
"23",1980,959.267759562842,477,751,1665,1887.5,446.142857142857,840.206174703608
"24",1981,830.660273972603,390,730,1230,1536,377.428571428571,700.147733516566
"25",1982,1556.62739726027,533.8,1020,3162,3910,494,1233.34951106638
"26",1983,1741.67671232877,709.4,1250,3158,3690,652.857142857143,1483.52905117713
"27",1984,1571.32240437158,685,1230,3035,3420,593,1463.90954115708
"28",1985,1104.35616438356,553.8,926,1888,2696,513.428571428571,1033.85129913152
"29",1986,1411.39178082192,597.4,956,2708,4034,568.714285714286,1251.00399949002
"30",1987,862.115068493151,514,772,1310,1458,491,813.694461806164
"31",1988,750.046448087432,412,756.5,1140,1250,394.571428571428,696.384432734843
"32",1989,1106.98082191781,485.4,678,2810,3104,444.428571428571,983.018336766574
"33",1990,673.304109589041,422.4,585,1146,1238,380.285714285714,625.737950412561
"34",1991,582.391780821918,404,564,813.2,847.4,365.714285714286,551.432317895195
"35",1992,478.915300546448,326,520.5,610.5,624,306.571428571429,460.584186616359
"36",1993,1139.53698630137,486,592,2522,3332,436.142857142857,975.554214692104
"37",1994,514.035616438356,309.4,532,737.6,773.6,293.571428571429,494.818150743965
"38",1995,1073.75342465753,451.8,783,2216,2450,412.571428571428,845.415820473947
"39",1996,1327.3306010929,468.5,930.5,2565,2990,433.285714285714,1107.48646872253
"40",1997,1318.8904109589,492,763,2290,2740,453,1015.35186909384
"41",1998,1427.39178082192,559.4,1350,2646,2994,500.714285714286,1256.71970319635
"42",1999,1412.95342465753,637,1010,2816,3218,566.857142857143,1282.46305936073
"43",2000,1065.00819672131,508.5,789,1880,2030,462.285714285714,1000.98182320867
"44",2001,668.490410958904,406.2,637,981.2,1070,372,648.22025177098
"45",2002,785.994520547945,387.8,579,1370,1570,366.571428571428,718.869600173119
"46",2003,796.704109589041,408,602,1420,1488,363.428571428571,732.79743600014
"47",2004,731.669398907104,407,584.5,1315,1547.5,388.142857142857,665.88121074233
"48",2005,772.512328767123,399,608,1296,2078,368,619.822118576502
"49",2006,1365.68219178082,493.8,827,3208,3598,467.142857142857,1228.00368116689
"50",2007,798.068493150685,435,633,1452,1718,393.285714285714,726.831949975043
"51",2008,877.737704918033,467.5,624.5,1765,1840,443,810.066958105647
"52",2009,747.090410958904,448.4,631,1216,1370,424.428571428571,679.208124592303
"53",2010,707.643835616438,444.8,664,1066,1170,391.428571428571,650.830932811481
"54",2011,1091.1397260274,534,755,2140,2258,509.714285714286,963.112327949204
"55",2012,835.434426229508,460,649,1550,1897.5,422.857142857143,743.868410096279
"56",2013,691.397260273973,513,583,1084,1270,479.857142857143,643.357707084287
"57",2014,653.72602739726,464,580,933.4,1084,423.142857142857,600.268219178082
"58",2015,635.915068493151,460.4,556,867.2,972.6,446.142857142857,582.476185777693
"59",2016,865.691256830601,487,614,1555,1867.5,435.857142857143,756.863266864123
"60",2017,1296.26575342466,566.4,648,2946,3496,537.571428571429,1045.67620873574
"61",2018,679.145205479452,506.4,603,1010,1124,493.428571428571,648.546529680365
"62",2019,929.558904109589,522.4,604,1886,2598,503.285714285714,815.686071296345
"63",2020,591.978142076503,481,548,745.5,845.25,464.714285714286,570.607122256917
"64",2021,524.794871794872,442,546,594.8,607,417.285714285714,NA
