"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1963,52,48.2739726027397,35,30.1535912770327,18.4285714285714,23,22
"2",1964,29,21.1674863387978,25,19.3544180149291,5.05714285714286,8.85,7.15
"3",1965,27,20.9098630136986,21,17.7855461049405,9.01428571428571,12,11
"4",1966,23,15.9115068493151,17,14.6920645634106,4.57142857142857,7.8,6.26000000000001
"5",1967,14,11.4186301369863,11,7.94979648685849,2,3.44,2.5
"6",1968,10,7.48926229508197,7.7,5.53873847254627,0.227142857142857,0.38,0.28
"7",1969,29.6,22.6627397260274,10,10.814628305677,0.262857142857143,5.84,4.92
"8",1970,24,16.6372602739726,19,15.3103138528139,1.47142857142857,5.08,3.66000000000001
"9",1971,18,14.8986301369863,12,10.6414683824547,1.82857142857143,6.34,4.6
"10",1972,20.5,18.3147540983607,13,10.1883460336056,1.9,5.6,4.4
"11",1973,78.6,109.870684931507,26,29.1812497578525,7.85714285714286,11,9
"12",1974,138.6,97.7424657534247,80,77.2247716894977,35.2857142857143,37,36
"13",1975,52,62.1260273972603,41,39.3569558599696,29.1428571428571,35,34
"14",1976,53.5,39.2295081967213,33,32.8881616713584,16.1428571428571,22,18.25
"15",1977,40,37.8131506849315,24,21.6713502935421,10.4,16,14
"16",1978,40.6,40.7260273972603,21,20.5555567075029,5.74285714285714,12,7.2
"17",1979,27,18.2101369863014,15,15.0517602396976,6.31428571428571,9.54,7.76000000000001
"18",1980,33,21.3745901639344,19,17.050646884612,3.1,5.7,4.7
"19",1981,15,9.90904109589041,11,8.11344824961948,0.577142857142857,1.6,1
"20",1982,12,8.04147945205479,8.5,6.43673124592303,0.0285714285714286,0.35,0.144
"21",1983,25,11.7815890410959,2.7,6.86863826801035,0.454285714285714,0.68,0.63
"22",1984,14,6.36532786885246,4.85,5.29969005584579,0.172857142857143,0.305,0.24
"23",1985,9.06,4.35920547945206,1.7,2.14410518015425,0.0957142857142857,0.29,0.14
"24",1986,12,9.72498630136986,6.4,4.44236338878017,0.29,0.872,0.42
"25",1987,50.2,30.1909589041096,16,13.579898021309,4.3,5.1,4.7
"26",1988,23,15.2363661202186,19,13.5147397566004,0,0.09,0.05
"27",1989,20,11.6292876712329,3.6,2.8506676900054,0.158571428571429,0.24,0.202
"28",1990,13,6.02542465753425,4,4.02823443159277,0,0.0839999999999999,0
"29",1991,2.7,1.46016438356164,0.55,0.573381092351532,0,0,0
"30",1992,2.4,2.8355737704918,0.125,0.364658898945784,0,0,0
"31",1993,34.6,35.1683287671233,15,13.5823527426456,1.14857142857143,2.74,2
"32",1994,18,12.013095890411,17,11.8883769425578,0.05,0.1,0.08
"33",1995,29.6,23.2788219178082,4.4,8.22644735769393,0.06,1,0.11
"34",1996,26,20.8049726775956,6.9,7.19758824221508,0.968571428571429,4.15,2.3
"35",1997,38.6,31.9643835616438,28,25.3101783724567,20.1428571428571,21,20
"36",1998,47.6,31.1131506849315,31,27.7239921072749,7.5,11,9.4
"37",1999,35,22.8150684931507,22,20.808196664469,3.38571428571429,9.2,5.56000000000001
"38",2000,30,19.0013661202186,15,13.458534238128,3.08571428571428,6.1,3.5
"39",2001,24,16.3159452054795,14,12.0056737126952,0.812857142857143,1.9,1.2
"40",2002,8.1,4.76528767123288,5.3,4.38949315068493,0,0,0
"41",2003,6.6,3.23983561643836,3.5,2.43447260723846,0,0,0
"42",2004,0.625,0.219125683060109,0,0.0969213505074161,0,0,0
"43",2005,6.628,2.2598904109589,0.9,1.02588736681887,0,0,0
"44",2006,4.3,1.78164383561644,1.37,1.33499441933337,0,0,0
"45",2007,53.2800000000001,28.809397260274,7.02,7.2533926690949,0,0,0
"46",2008,15.75,9.75975409836066,9.685,8.16023557984214,0.741428571428571,2.325,1.7275
"47",2009,25.24,14.1400547945205,9.55,10.7873991073574,2.35857142857143,6.894,6.01
"48",2010,15.26,15.099397260274,11.2,9.39952215995817,2.33285714285714,7.068,4.78000000000001
"49",2011,12.26,7.16783561643836,7.98,6.56603254185693,0,0,0
"50",2012,2.51,0.695355191256831,0.04,0.538443624206632,0,0,0
"51",2013,0.15,0.225917808219178,0,0.0084612578989779,0,0,0
"52",2014,1.186,0.629424657534247,0.13,0.249232224396608,0,0,0
"53",2015,9.91,2.12361643835616,0.09,1.42026550582121,0,0,0
"54",2016,2.915,1.74825136612022,0.45,0.517483433010639,0,0,0
"55",2017,15,4.10101369863014,0.25,1.9854279850679,0,0,0
"56",2018,0.766,0.536191780821918,0.1,0.132083550553598,0,0,0
"57",2019,14.92,12.3743561643836,5.37,4.86072778819154,0,1.098,0.572
"58",2020,7.11,5.31631147540984,5.625,4.36846673184237,1.02428571428571,1.75,1.425
"59",2021,9.84,4.70739726027397,4.95,4.22877428339161,0,0,0
