"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1921,705.813725490196,244,315.5,1560,194,NA
"2",1922,540.238356164384,224,280,1300,160.571428571429,378.938831853078
"3",1923,374.578082191781,242,300,648.000000000001,192.714285714286,324.694337230502
"4",1924,252.644808743169,169,237,332,148.571428571429,213.630281661845
"5",1925,533.164383561644,246,326,1070,182,430.589351913866
"6",1926,302.095890410959,180,245,420,129.857142857143,233.169948907137
"7",1927,772.630136986301,265,399,1770,192.142857142857,594.131123465576
"8",1928,497.062841530055,225,305,1010,184,401.7626121598
"9",1929,323.306849315069,188,266,520,144.857142857143,272.957303308252
"10",1930,308.942465753425,190.8,235,545,142.428571428571,255.643819276299
"11",1931,215.632876712329,112,223,300,100,186.073947533351
"12",1932,391.008196721311,161,223,1000,132.571428571429,323.302097207749
"13",1933,325.38904109589,170,236,593,125.142857142857,259.93955138989
"14",1934,240.216438356164,132,218,373,104.714285714286,206.235472693004
"15",1935,404.21095890411,164,245,1060,133.285714285714,344.814881693649
"16",1936,491.70218579235,175.5,242,1110,158.857142857143,365.708917384851
"17",1937,396.715068493151,170,250,792,135.285714285714,284.453976054649
"18",1938,849.660273972603,230,331,2160,204.285714285714,582.846981785338
"19",1939,294.813698630137,148.2,236,527.200000000001,129.857142857143,236.770825722983
"20",1940,585.385245901639,181,287.5,1335,147,394.902130989836
"21",1941,445.942465753425,203,348,809,171.428571428571,386.007973788891
"22",1942,606.257534246575,227.6,420,1320,169.857142857143,486.305536156339
"23",1943,979.27397260274,271,402,2816,260,752.242745343605
"24",1944,360.53825136612,240,330,503,220.285714285714,315.14607488667
"25",1945,506.739726027397,222,370,1120,214.571428571429,428.977340169366
"26",1946,615.920547945205,218,350,1492,206.428571428571,532.252035106983
"27",1947,307.723287671233,196,284,456,168.714285714286,264.092739726027
"28",1948,495.366120218579,240,308,1005,218,431.693804260403
"29",1949,433.772602739726,175,270,1052,166,374.375972122086
"30",1950,561.523287671233,196,422,1120,174.714285714286,412.658674456084
"31",1951,703.076712328767,223,395,1816,159.571428571429,576.441844691443
"32",1952,1018.68579234973,288.5,418,3095,264.714285714286,876.817183133648
"33",1953,920.506849315069,330,618,1910,263.857142857143,711.217489826981
"34",1954,821.835616438356,296,420,1890,227.285714285714,701.135805527925
"35",1955,487.931506849315,237,375,735.2,211.857142857143,381.124355450083
"36",1956,1338.8306010929,390,654,3640,365.714285714286,1077.18832217686
