"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1957,80.8090410958904,6.88,40,213,4.48571428571429,NA
"2",1958,199.527671232877,10,41,591.6,7.75714285714285,117.461292778811
"3",1959,58.3082191780822,4.2,13,143.6,2.18571428571429,34.4743496412264
"4",1960,55.9273224043716,3.7,19,125.5,2.85714285714286,22.7675588891358
"5",1961,47.5257534246575,3.12,18,121.6,1.74285714285714,28.6675247021664
"6",1962,54.6194520547945,3,19,134.6,1.24285714285714,27.339330247023
"7",1963,92.9438356164383,6.2,38,265.6,4.84285714285714,47.973776793375
"8",1964,70.3210382513661,2.2,21.5,120,1.2,30.0328272995001
"9",1965,99.9334246575342,8.3,48,337.4,7.38571428571428,63.6922803044973
"10",1966,83.9312328767123,5.7,39,202.2,3.97142857142857,50.1477916423223
"11",1967,117.444485294118,8.9,79,277,7.87142857142857,NA
"12",2005,111.598125,8.321,64.25,274.9,7.82285714285714,NA
