"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1911,657.826086956522,490,635,842,484.571428571429,NA
"2",1912,5432.08743169399,740,4230,12150,652,3164.91706485805
"3",1913,5597.42647058824,590,5870,10780,488,NA
"4",1916,1156.78260869565,485,770,1988,485,NA
"5",1917,4135.21095890411,410,1760,10000,355.714285714286,3129.03216218713
"6",1918,3325.08088235294,330,2250,6920,273.571428571429,NA
"7",1931,1654.5652173913,170,908.5,3465,164.142857142857,NA
"8",1932,3484.4262295082,249,2480,8620,202.857142857143,2574.68161297336
"9",1933,3965.81095890411,366.2,2280,9556.00000000001,304,2922.38234254586
"10",1934,3084.9095890411,234.8,2950,6358.00000000001,191.428571428571,2034.91130545014
"11",1935,4227.90410958904,366.2,1860,10200,289.285714285714,3292.56193302892
"12",1936,4836.41530054645,336.5,2000,10600,307.285714285714,2695.4001604522
"13",1937,5871.52876712329,392.4,2920,12700,289.714285714286,3328.30884269617
"14",1938,9108.67397260274,700,4850,22300,494.428571428571,5990.90345979211
"15",1939,2749.85479452055,248.8,1650,6130,218,1893.10665213782
"16",1940,7947.91530054645,490,3110,20950,370.857142857143,3925.42930130937
"17",1941,9482.75616438356,815,7950,20140,661.571428571428,5648.76622347443
"18",1942,6808.73698630137,631.8,5290,13560,512,4146.44437335148
"19",1943,5168.98630136986,472,2290,11900,426.857142857143,3728.93187342808
"20",1944,3278.46721311475,372,2810,6640,340.571428571428,2157.7293461719
"21",1945,6382.60821917808,409,4840,11880,354,4047.21437224786
"22",1946,4865.21643835616,423,3320,10200,359.285714285714,3633.14852848736
"23",1947,2920.46575342466,360,1500,7050,290,1873.63136970247
"24",1948,4866.5737704918,685,2715,10850,465.285714285714,3161.79496024289
"25",1949,4171.47397260274,425.4,1420,11440,366,2858.38917155166
"26",1950,6765.88767123288,450.2,5620,13120,346.142857142857,3728.55108689977
"27",1951,6800.86849315069,535.2,4830,15200,436.857142857143,3851.53189481751
"28",1952,7856.92076502732,533.5,5070,17350,483.142857142857,5871.62321897984
"29",1953,8121.97260273973,819.6,6210,14040,707.714285714286,4958.98807315061
"30",1954,7040.90684931507,668,3630,15860,577.428571428571,4486.31317191135
"31",1955,5208.05479452055,398,3510,8098,318.857142857143,2878.69267064747
"32",1956,7567.99726775956,600,4240,14050,483,4754.24962714471
"33",1957,6149.32876712329,509.4,3140,15160,353.714285714286,3635.09440456603
"34",1958,10771.4904109589,653,4190,21980,512.428571428571,6990.90577782254
"35",1959,4640.86849315069,498.8,1610,11000,418.571428571429,2909.33035869002
"36",1960,4808.72677595628,444,2675,10900,354.571428571429,2641.70806534445
"37",1961,3690.3095890411,512,2110,9618,457.714285714286,2443.97191921602
